DateTime,AddedIPs,RemovedIPs
1587682100,300,154
1587684019,315,125
1587685939,298,139
1587687851,361,152
1587689778,390,158
1587691691,344,146
1587694579,489,270
1587696491,347,147
1587698422,326,180
1587700332,388,151
1587702257,316,128
1587704200,388,301
1587706091,335,156
1587708972,540,215
1587710892,412,277
1587712816,421,187
1587714735,439,129
1587716664,388,205
1587718571,365,305
1587720516,355,231
1587723370,2018,281
1587725291,775,223
1587727254,528,168
1587729136,705,257
1587731065,670,143
1587732977,672,155
1587734828,279,179
1587737770,334,500
1587739699,193,253
1587741614,162,255
1587743532,192,154
1587745480,176,189
1587747370,205,145
1587749300,342,170
1587752176,434,230
1587754111,438,251
1587756011,763,224
1587757945,985,338
1587759853,872,447
1587761792,1073,297
1587763709,567,165
1587766597,810,240
1587768737,248,245
1587770652,143,220
1587772579,261,223
1587774496,227,248
1587777372,274,416
1587779291,227,271
1587781219,214,239
1587783138,254,251
1587785050,725,236
1587786979,812,273
1587788891,753,246
1587790842,513,312
1587792758,192,306
1587794676,179,297
1587796574,148,313
1587798519,201,341
1587800412,189,332
1587802333,171,313
1587804261,310,306
1587806182,298,295
1587808087,162,392
1587810026,189,1351
1587811937,229,358
1587813864,163,540
1587815769,201,396
1587817690,180,436
1587819640,177,401
1587821538,192,217
1587823463,181,204
1587825384,241,205
1587827300,199,184
1587829217,244,190
1587831140,198,138
1587833053,250,193
1587834969,244,232
1587836922,248,238
1587838809,161,198
1587840733,1177,597
1587842664,174,942
1587844575,224,1165
1587846489,314,932
1587848445,191,1245
1587850337,279,596
1587852269,231,794
1587854182,1076,227
1587856096,1743,186
1587858013,1713,208
1587859947,561,259
1587861850,215,215
1587863771,231,180
1587865697,228,236
1587867616,192,216
1587869532,188,251
1587871464,242,232
1587873367,197,226
1587875290,214,190
1587877231,201,197
1587879136,207,219
1587881302,259,212
1587883211,185,163
1587885146,192,195
1587887072,208,189
1587888968,218,169
1587890899,246,186
1587892810,229,176
1587894760,219,417
1587896658,196,242
1587898568,196,208
1587900777,232,208
1587902660,152,189
1587904833,215,197
1587906749,176,198
1587908781,471,194
1587910924,548,220
1587912730,147,173
1587914661,169,207
1587916568,353,213
1587918491,433,888
1587921367,325,1262
1587923287,372,804
1587925243,487,173
1587927129,243,1119
1587929054,251,149
1587930976,167,205
1587932888,176,334
1587934847,204,192
1587936753,195,217
1587938681,177,233
1587940576,185,1251
1587942494,162,2378
1587944422,223,2240
1587946576,904,548
1587948491,2373,260
1587950421,1568,247
1587952336,1523,248
1587954262,1068,211
1587956195,1390,218
1587958091,1093,255
1587960038,1158,227
1587961937,986,234
1587963860,1010,247
1587967224,1917,392
1587969146,908,197
1587971061,904,227
1587972970,958,225
1587975148,1030,277
1587977051,898,274
1587978971,743,252
1587980890,855,252
1587982825,732,231
1587984742,781,224
1587986652,1020,240
1587988591,1035,181
1587990487,681,167
1587993369,1279,290
1587995288,1105,500
1587997218,732,434
1587999132,738,168
1588001062,582,154
1588002969,1560,193
1588004889,587,182
1588007769,999,245
1588009699,792,404
1588011610,662,423
1588013533,664,219
1588015460,658,182
1588017369,658,142
1588019290,599,162
1588022169,1056,254
1588024099,754,198
1588026011,665,171
1588027930,292,156
1588029862,190,207
1588031769,343,318
1588033706,307,1279
1588036618,343,2476
1588038502,269,1523
1588040423,182,1154
1588042339,173,1305
1588044262,158,1257
1588046168,660,1252
1588048093,191,995
1588050056,195,1155
1588051960,323,1069
1588053876,367,1025
