DateTime,Entries,UniqueIPs
1587685689,2220,2220
1587687638,2489,2489
1587689531,2782,2782
1587691474,3040,3040
1587693409,3271,3271
1587695293,3514,3514
1587698170,3953,3953
1587700088,4278,4278
1587702019,4547,4547
1587703927,4824,4824
1587705849,5117,5117
1587707778,5448,5448
1587709687,5695,5695
1587711677,6011,6011
1587713543,6295,6295
1587715378,6590,6590
1587717381,6929,6929
1587719306,7202,7202
1587721248,7487,7487
1587723136,8567,8567
1587725064,9192,9192
1587727259,9573,9573
1587729140,9690,9690
1587731068,9768,9768
1587732981,9838,9838
1587734832,9893,9893
1587736941,9990,9990
1587738988,10068,10068
1587740896,10132,10132
1587742825,10183,10183
1587744992,10235,10235
1587746900,10285,10285
1587748829,10334,10334
1587750744,10411,10411
1587752652,10481,10481
1587754605,10531,10531
1587756494,10599,10599
1587758460,10675,10675
1587760340,10719,10719
1587762272,10783,10783
1587764201,10840,10840
1587766118,10903,10903
1587768022,10874,10874
1587769938,10767,10767
1587771866,10676,10676
1587773773,10598,10598
1587775933,10467,10467
1587777853,10391,10391
1587779790,10331,10331
1587781713,10230,10230
1587783661,10258,10258
1587785546,11243,11243
1587787471,11915,11915
1587789376,12838,12838
1587791309,12853,12853
1587793216,12689,12689
1587795131,12567,12567
1587797065,12370,12370
1587798977,12218,12218
1587800891,12057,12057
1587802821,11948,11948
1587804732,12021,12021
1587806663,11881,11881
1587808573,11712,11712
1587810503,10446,10446
1587812456,10259,10259
1587814351,10122,10122
1587816264,10124,10124
1587818189,10111,10111
1587820107,10116,10116
1587822114,10101,10101
1587823952,10036,10036
1587825852,10008,10008
1587827770,10020,10020
1587829700,10027,10027
1587831611,10048,10048
1587833534,10072,10072
1587835469,10099,10099
1587837370,10082,10082
1587839292,11129,11129
1587842170,11095,11095
1587844105,11111,11111
1587846010,11117,11117
1587847932,11146,11146
1587849859,11177,11177
1587851768,11239,11239
1587853693,11715,11715
1587856572,14739,14739
1587858504,16444,16444
1587860410,16439,16439
1587862333,16422,16422
1587864261,16412,16412
1587866174,16386,16386
1587868101,16373,16373
1587870121,16369,16369
1587871941,16397,16397
1587874101,16404,16404
1587876017,16389,16389
1587877949,16377,16377
1587879852,16415,16415
1587881772,16442,16442
1587883706,16435,16435
1587885657,16443,16443
1587887553,16433,16433
1587889476,16402,16402
1587891370,16408,16408
1587893559,16410,16410
1587895514,16161,16161
1587897376,16171,16171
1587899323,16141,16141
1587901214,16136,16136
1587903148,16099,16099
1587905052,16048,16048
1587906978,16005,16005
1587908785,16298,16298
1587910927,16656,16656
1587912734,16620,16620
1587914664,16569,16569
1587916580,16519,16519
1587918517,15523,15523
1587921382,14183,14183
1587923291,13468,13468
1587925246,13407,13407
1587927132,12390,12390
1587929057,12365,12365
1587930980,12303,12303
1587932892,12219,12219
1587934949,12168,12168
1587936774,12219,12219
1587938711,12210,12210
1587940579,10653,10653
1587942496,7722,7722
1587944424,4991,4991
1587946578,4604,4604
1587948493,5646,5646
1587950423,5910,5910
1587952338,5830,5830
1587954264,5781,5781
1587956198,5711,5711
1587958109,5606,5606
1587960069,5535,5535
1587961938,5461,5461
1587963864,5385,5385
1587968418,5192,5192
1587970334,5069,5069
1587972256,5035,5035
1587974203,4956,4956
1587976095,4882,4882
1587978975,4779,4779
1587980894,4712,4712
1587982829,4647,4647
1587984747,4579,4579
1587986656,4789,4789
1587988595,4734,4734
1587990491,4736,4736
1587993373,4738,4738
1587995292,4455,4455
1587997223,4180,4180
1587999136,4201,4201
1588001068,4212,4212
1588002974,5295,5295
1588004913,5299,5299
1588007808,5293,5293
1588009702,5301,5301
1588011632,5315,5315
1588013562,5341,5341
1588015464,5347,5347
1588017372,5346,5346
1588019294,5362,5362
1588022174,5350,5350
1588024103,5111,5111
1588026016,5111,5111
1588027935,5099,5099
1588029867,5089,5089
1588031774,5087,5087
1588033718,5079,5079
1588035634,3574,3574
1588037540,3576,3576
1588039505,3577,3577
1588041390,3579,3579
1588043307,3587,3587
1588045222,3876,3876
1588047155,4368,4368
1588049104,4362,4362
1588051014,4363,4363
1588052910,4353,4353
1588054814,4360,4360
1588056737,4355,4355
1588058666,4361,4361
1588060580,5364,5364
1588062494,5824,5824
1588065381,5829,5829
1588067309,5829,5829
1588069216,5817,5817
1588071137,5797,5797
1588073092,5787,5787
1588075058,5781,5781
1588076900,5784,5784
1588079844,5602,5602
1588081704,5513,5513
1588083536,5513,5513
1588085544,5503,5503
1588087722,5501,5501
1588090582,4564,4564
1588092517,4557,4557
