DateTime,AddedIPs,RemovedIPs
1587601230,3,6
1587603130,3,5
1587605062,1,5
1587606972,0,7
1587608925,2,3
1587610955,1,4
1587612985,1,11
1587614910,2,5
1587616817,2,7
1587618731,3,3
1587620660,1,2
1587622567,0,7
1587624514,3,7
1587626421,1,5
1587628333,2,6
1587630248,3,2
1587632180,1,4
1587634135,1,3
1587636059,1,5
1587637950,3,3
1587639899,4,2
1587641787,3,3
1587643696,2,1
1587645613,5,4
1587647450,2,1
1587649450,7,2
1587651415,2,0
1587653291,1,1
1587657148,3,2
1587659050,2,1
1587660977,1,2
1587662904,3,0
1587665787,1,3
1587667782,0,3
1587669615,1,3
1587671548,5,1
1587673558,3,5
1587675377,0,3
1587677291,2,1
1587680421,0,3
1587682333,1,2
1587684253,0,2
1587686184,1,3
1587688089,0,3
1587691219,2,4
1587693142,4,0
1587695052,0,1
1587697023,2,1
1587698888,1,1
1587700884,0,2
1587702745,0,2
1587704686,0,2
1587706571,0,1
1587708501,0,1
1587710415,1,2
1587712350,0,1
1587714251,1,3
1587716169,2,1
1587718099,1,2
1587720008,0,1
1587721995,2,2
1587723858,3,2
1587725784,2,4
1587727692,3,3
1587730589,4,3
1587732499,1,5
1587734413,1,3
1587736331,1,6
1587738266,1,1
1587740169,3,1
1587742089,1,1
1587744151,0,2
1587746173,1,2
1587748095,0,3
1587750052,3,1
1587752181,0,1
1587756018,1,1
1587757976,1,5
1587759866,1,3
1587761817,1,0
1587763862,3,2
1587766846,4,0
1587768741,1,1
1587770670,1,0
1587772597,2,1
1587774500,1,0
1587777380,3,2
1587779308,2,3
1587781228,1,1
1587783144,1,2
1587785084,2,1
1587786985,2,1
1587790905,1,0
1587794693,2,0
1587796578,2,1
1587798522,2,0
1587800417,0,1
1587802336,3,2
1587804264,1,1
1587806186,1,0
1587808090,0,2
1587810085,1,2
1587811939,2,3
1587813866,0,3
1587815772,1,0
1587817693,1,4
1587819689,4,3
1587821540,1,1
1587825386,0,3
1587827302,1,1
1587829219,1,1
1587833055,5,1
1587836926,0,2
1587838814,3,0
1587840737,1,0
1587842667,2,1
1587844581,2,1
1587846492,5,1
1587848527,1,2
1587850340,1,2
1587852350,2,3
1587854188,1,2
1587856098,1,1
1587858016,4,0
1587859950,1,2
1587861854,1,1
1587863774,3,3
1587865701,1,2
1587867619,4,0
1587869590,2,0
1587871468,1,2
1587873370,2,3
1587878413,1,1
1587880333,1,0
1587882269,1,2
1587884174,2,3
1587886353,0,1
1587888319,2,2
1587890188,2,2
1587892102,1,1
1587895943,1,0
1587897860,2,2
1587899787,2,0
1587901706,2,1
1587903626,1,1
1587905845,2,4
1587907816,1,0
1587909948,1,0
1587911783,1,0
1587913988,1,2
1587915857,4,1
1587917802,2,0
1587919713,0,5
1587923782,1,0
1587925694,1,3
1587928575,1,3
1587930497,1,1
1587932421,0,8
1587934373,0,1
1587936251,1,1
1587938188,0,2
1587940101,4,1
1587942982,1,2
1587944892,2,2
1587946824,1,1
1587948732,2,3
1587950658,0,2
1587952585,1,4
1587954501,0,3
1587957375,1,2
1587959300,1,1
1587961211,4,1
1587963157,1,0
1587967375,4,2
1587969372,0,3
1587971304,1,0
1587973224,2,1
1587975154,3,1
1587977058,1,2
1587978980,1,1
1587980897,2,0
1587982833,1,1
1587984750,0,2
1587986659,2,3
1587988597,0,1
1587990495,3,1
1587993376,2,2
1587995295,1,2
1587999140,1,1
1588001071,3,2
1588002978,1,4
1588004917,2,1
1588006950,2,0
1588008985,1,0
1588010914,0,2
1588012811,3,0
1588014739,1,1
1588016649,0,1
1588020499,3,0
1588022407,0,1
1588024328,1,0
1588026265,1,4
1588028176,1,1
1588030100,1,1
1588032097,3,1
1588033941,1,1
1588036136,1,2
1588039950,0,1
1588041854,2,1
1588044011,1,0
1588045937,1,1
1588047872,2,4
1588049769,3,1
1588051730,0,2
