DateTime,AddedIPs,RemovedIPs
1587689292,20,30
1587691221,37,21
1587693144,33,30
1587695054,34,39
1587697031,21,33
1587698890,12,44
1587702045,35,50
1587703930,20,21
1587705852,21,37
1587707781,34,35
1587709690,43,40
1587712827,68,69
1587714741,54,28
1587716693,49,36
1587718580,64,114
1587720524,57,109
1587722597,55,49
1587724822,41,102
1587726755,20,45
1587728658,38,146
1587730593,49,76
1587732503,48,41
1587734417,72,98
1587736335,24,158
1587738268,44,210
1587740194,26,78
1587742091,45,48
1587744203,48,95
1587746178,39,71
1587748099,72,52
1587750075,52,66
1587752185,69,38
1587754123,54,133
1587756024,39,100
1587757980,96,80
1587759869,71,72
1587761821,48,82
1587763907,34,47
1587765806,45,67
1587767770,67,61
1587769703,32,25
1587771616,43,17
1587773541,103,22
1587775470,71,31
1587777384,28,41
1587779313,66,46
1587781231,86,32
1587783147,80,19
1587785091,43,15
1587786987,53,19
1587788902,65,27
1587790974,67,22
1587792976,58,26
1587794902,42,34
1587796839,23,49
1587798984,65,46
1587800918,49,50
1587802826,20,52
1587804738,18,53
1587806669,21,70
1587808579,19,54
1587810507,137,39
1587812540,50,25
1587814354,42,33
1587816269,47,35
1587818193,45,41
1587820112,54,61
1587822120,50,53
1587823955,46,33
1587825857,23,34
1587827774,74,33
1587829704,69,52
1587831618,58,32
1587833538,93,35
1587835475,86,75
1587837376,64,56
1587839296,33,49
1587841330,38,58
1587843143,38,52
1587845058,39,90
1587846988,41,60
1587848902,29,48
1587850817,37,33
1587852756,34,46
1587854661,40,70
1587856577,35,19
1587858509,37,65
1587860418,39,92
1587862342,62,56
1587864266,65,30
1587866179,57,76
1587868106,57,77
1587870194,49,76
1587872188,48,61
1587874106,58,52
1587876044,44,79
1587877953,43,69
1587879858,31,67
1587881777,40,26
1587883712,30,24
1587885665,43,79
1587887559,68,38
1587889481,64,20
1587891399,55,22
1587893565,60,20
1587895542,46,25
1587897383,34,137
1587899333,33,58
1587901241,38,30
1587903153,67,51
1587905057,59,42
1587906982,46,56
1587908792,49,48
1587910933,51,41
1587912740,62,34
1587914696,48,81
1587916604,64,69
1587918525,53,81
1587921388,58,118
1587923300,35,88
1587925251,57,34
1587927137,65,43
1587929064,54,33
1587930986,20,47
1587932899,24,43
1587935088,25,34
1587937094,21,34
1587938912,22,39
1587940827,21,37
1587942733,21,39
1587944667,19,41
1587946584,18,34
1587948501,11,61
1587950432,12,65
1587952346,11,67
1587954269,23,50
1587956205,12,47
1587958115,16,57
1587960235,20,62
1587962189,13,61
1587964096,20,59
1587967500,7,75
1587969379,17,37
1587971309,15,45
1587973231,13,64
1587975164,11,67
1587977075,59,56
1587978986,56,60
1587980903,64,59
1587982840,70,43
1587984756,73,32
1587986667,130,39
1587988604,108,48
1587990501,64,76
1587993386,74,90
1587995314,100,58
1587997233,54,41
1587999147,125,62
1588001104,65,45
1588002998,76,70
1588004924,52,59
1588007001,45,42
1588008992,170,33
1588010932,78,41
1588012834,59,76
1588014774,68,42
1588016657,50,24
1588018586,46,24
1588020506,15,22
1588022414,23,19
1588024336,15,20
1588026271,58,26
1588028187,41,21
1588031384,44,39
1588033224,48,15
1588035146,17,8
1588037091,42,9
1588038975,30,8
1588040898,58,26
1588042969,37,15
1588044984,48,14
1588047161,42,19
1588049118,30,20
1588051018,28,15
1588052915,22,1
1588054821,24,8
1588056743,52,19
1588058673,53,13
1588060614,44,9
1588062501,36,21
1588065394,58,86
1588067313,36,54
1588069221,26,62
1588071143,31,65
1588073099,54,117
1588075070,35,113
1588076907,18,63
1588079894,42,80
1588081710,13,93
1588083543,36,53
1588085559,57,132
1588087727,212,77
1588089834,229,88
1588091776,177,46
1588093706,50,36
1588095613,56,187
1588097540,43,58
1588099472,50,49
1588101390,56,70
1588103290,71,48
1588105222,119,39
1588107139,37,18
1588109053,57,26
1588110985,90,24
1588112895,42,50
1588115773,86,44
1588117694,44,28
1588119655,33,51
1588121555,57,15
1588123472,32,38
1588125378,24,31
1588127304,25,59
1588129457,40,38
1588131391,73,41
1588133321,87,41
1588135219,37,31
1588137146,64,26
1588139067,65,22
1588140981,31,25
1588142910,46,45
1588144826,45,36
1588146738,59,15
1588148671,30,80
1588150587,33,38
1588152495,48,31
1588155627,142,50
1588157559,49,28
1588159462,86,52
1588161378,62,33
1588163570,50,23
1588165488,31,25
1588167435,41,18
1588169318,15,32
1588171241,30,28
1588173417,177,148
1588175340,67,139
1588177227,57,372
1588179161,62,48
1588181064,29,57
1588182999,37,56
1588184901,35,53
1588187076,82,43
1588189262,53,71
1588191138,54,125
1588193066,51,43
1588195009,57,64
1588196896,50,90
1588198824,36,49
1588200733,56,56
1588202669,50,58
1588204633,40,38
1588206492,53,38
1588208481,56,46
1588210365,41,42
1588212502,41,32
1588214422,27,33
1588216595,40,59
1588218544,46,46
1588220430,35,16
1588222351,43,119
1588224260,37,64
1588226244,51,61
1588228121,40,41
1588230248,54,48
1588232185,60,47
1588234097,55,59
1588236018,47,26
1588237946,47,43
1588239859,49,37
1588242155,136,137
1588244171,137,54
1588246091,104,88
1588248096,94,58
1588249946,116,41
1588251894,113,29
1588253776,98,49
1588255711,105,19
1588257615,101,27
1588259539,72,159
1588261470,79,71
1588263619,110,81
1588265539,72,72
1588267463,63,34
1588269415,82,22
1588271301,116,26
1588274955,291,78
1588276912,241,23
1588278740,177,22
1588280598,193,27
1588282584,147,56
1588284774,154,36
1588286655,162,32
1588288570,155,41
1588290504,101,29
1588292457,105,41
1588294331,110,34
1588296267,151,19
1588298178,124,28
1588300115,103,25
1588302224,137,20
1588304210,150,56
1588306110,57,21
1588308026,41,30
1588309980,37,35
1588311938,70,54
1588313800,36,41
1588315835,45,47
1588317742,39,53
1588319645,27,53
1588321458,27,41
1588323424,31,54
1588325307,47,39
1588327489,17,67
1588329391,63,144
1588331301,70,124
1588333273,47,88
1588335150,51,92
1588337077,41,119
1588338984,51,112
1588340931,89,107
1588342822,73,110
1588344745,122,86
1588346676,71,85
1588348573,47,73
1588350530,37,71
1588352561,78,64
1588354575,54,78
1588356504,40,70
1588358417,30,128
1588360334,41,140
1588362264,46,159
1588364173,62,243
1588366350,121,189
1588368262,114,165
1588370191,149,116
1588372125,124,167
1588374220,124,204
1588376201,149,116
1588378090,117,113
1588380019,150,103
1588381943,136,159
1588383864,154,141
1588386024,189,141
1588387956,137,119
1588389921,137,158
1588391783,117,96
1588393703,151,48
1588395851,149,49
1588397660,102,52
1588399487,104,45
1588401381,110,46
1588403344,116,36
1588405237,124,29
1588407180,117,36
1588409076,100,36
1588410991,126,41
1588412935,122,21
1588414871,146,45
1588416758,145,51
1588418778,144,40
1588420618,128,30
1588422531,154,44
1588424767,143,51
1588426593,74,54
1588428502,93,70
1588430477,111,66
1588432471,69,109
1588434508,105,49
1588436426,116,24
1588438338,79,70
1588440299,106,63
1588442176,132,33
1588444096,114,27
1588447013,171,47
1588448908,113,31
1588450824,91,51
1588452743,130,77
1588454678,84,77
1588456579,123,92
1588458504,81,85
1588460727,127,99
1588462644,94,102
1588464498,115,70
1588466429,93,116
1588468361,98,112
1588470264,97,123
1588472202,98,126
1588474133,116,104
1588476028,88,103
1588477933,99,97
1588479859,100,116
1588481807,92,108
1588483695,102,91
1588485765,75,101
1588487572,76,86
1588489708,123,103
1588491630,78,106
1588493560,112,124
1588495463,95,101
1588497387,93,106
1588499333,111,101
1588501218,103,126
1588503154,88,157
1588505081,89,117
1588506980,77,124
1588508897,92,157
1588511050,97,141
1588513017,101,99
1588514927,69,98
1588516840,88,103
1588518742,68,64
1588520666,86,101
1588522608,95,106
1588524504,96,89
1588526432,116,82
1588528352,92,128
1588530338,122,122
1588532194,102,108
1588534146,117,106
1588537000,154,147
1588538897,118,118
1588540821,127,86
1588542758,114,128
1588544696,121,85
1588546577,96,109
1588548509,100,85
1588550600,112,122
1588552571,115,111
1588554528,100,101
1588556457,92,112
1588558353,74,113
1588560295,85,105
1588562177,78,93
1588564115,93,104
1588566025,110,88
1588567992,169,105
1588569884,125,114
1588571780,111,89
1588573719,99,74
1588575903,102,105
1588577815,105,98
1588579994,139,116
1588581896,110,107
1588583788,110,109
1588585706,169,111
1588587669,157,104
1588589553,133,102
1588591472,96,85
1588593430,121,76
1588595309,72,79
1588597380,99,80
1588599182,87,80
1588601208,88,65
1588603219,95,93
1588605159,65,66
1588607076,89,89
1588609004,69,83
1588610908,67,77
1588612824,73,102
1588614740,82,85
1588616673,70,118
1588618632,102,105
1588620527,99,105
1588622703,152,112
1588624588,134,119
1588626511,98,144
1588628466,115,130
