DateTime,AddedIPs,RemovedIPs
1587691724,14,6
1587693783,10,6
1587695774,8,6
1587697702,7,6
1587699617,9,9
1587701532,9,5
1587703473,4,7
1587705370,7,3
1587707291,8,8
1587709223,4,2
1587711131,10,4
1587713064,8,8
1587714970,7,2
1587717139,11,7
1587718957,8,2
1587720769,6,10
1587722617,12,7
1587724823,12,7
1587726780,9,2
1587728660,4,9
1587730594,5,3
1587732504,5,4
1587734418,4,7
1587736336,7,3
1587738269,12,4
1587740217,10,2
1587742092,10,7
1587744241,8,3
1587746180,10,7
1587748101,11,6
1587750076,8,5
1587752187,14,12
1587754124,4,6
1587756025,3,7
1587757983,8,7
1587759870,8,3
1587761823,10,18
1587763927,8,8
1587765822,7,11
1587767771,9,6
1587769704,16,3
1587771617,8,5
1587773543,7,8
1587775478,9,7
1587777385,10,9
1587779315,5,14
1587781232,9,6
1587783148,13,7
1587785093,15,13
1587786988,9,3
1587788904,5,7
1587790979,11,5
1587792979,14,9
1587794903,5,6
1587796841,6,6
1587798985,9,12
1587800919,13,7
1587802827,7,5
1587804740,12,11
1587806671,9,6
1587808580,6,8
1587810509,5,11
1587812551,12,10
1587814355,6,4
1587816272,8,5
1587818195,10,5
1587820115,12,4
1587822122,9,8
1587823957,9,9
1587825858,10,11
1587827775,9,11
1587829705,12,7
1587831620,16,8
1587833539,7,9
1587835476,13,10
1587837378,8,8
1587839297,6,10
1587841343,7,7
1587843145,9,9
1587845061,9,6
1587846989,7,8
1587848904,9,11
1587850818,13,9
1587852757,7,3
1587854662,8,11
1587856578,9,15
1587858510,9,9
1587860420,5,6
1587862344,7,7
1587864267,7,12
1587866180,9,5
1587868107,9,9
1587870195,8,19
1587872190,12,14
1587874108,12,8
1587876045,8,4
1587877954,10,11
1587879859,10,12
1587881778,4,3
1587883713,11,10
1587885667,7,4
1587887560,6,14
1587889482,7,5
1587891400,8,13
1587893566,11,7
1587895543,7,10
1587897384,9,9
1587899335,7,13
1587901242,6,6
1587903154,8,7
1587905058,7,13
1587906983,7,9
1587908794,6,6
1587910934,12,9
1587912742,2,9
1587914697,5,10
1587916605,6,9
1587918526,6,17
1587921389,11,12
1587923301,8,11
1587925252,5,9
1587927138,12,5
1587929066,8,11
1587930987,7,8
1587932901,7,7
1587935089,10,11
1587937118,12,13
1587939141,10,8
1587941057,8,9
1587942986,7,9
1587944897,13,9
1587946827,4,4
1587948737,5,8
1587950661,5,7
1587952589,7,11
1587954514,3,8
1587956534,5,8
1587958352,9,11
1587960282,4,14
1587962190,5,8
1587964097,12,9
1587967506,15,16
1587969380,7,9
1587971311,10,7
1587973232,9,8
1587975165,5,8
1587977076,6,4
1587978987,4,11
1587980905,7,8
1587982841,5,8
1587984757,4,6
1587986669,9,12
1587988605,9,7
1587990502,10,5
1587993388,13,11
