DateTime,AddedIPs,RemovedIPs
1587648282,1,1
1587650692,4,0
1587652881,3,3
1587654775,1,5
1587656702,1,2
1587658593,1,1
1587660530,0,6
1587662428,2,2
1587664349,2,4
1587666261,1,5
1587668186,2,2
1587670111,1,2
1587672247,1,4
1587674179,5,3
1587676126,1,2
1587678020,2,5
1587680186,3,3
1587682107,1,0
1587684027,2,1
1587686012,2,1
1587687858,3,1
1587691724,2,3
1587693793,2,1
1587695775,4,2
1587697703,2,1
1587699618,2,4
1587701532,1,1
1587703473,4,2
1587705370,2,2
1587707292,2,4
1587709223,2,2
1587711132,0,3
1587713064,0,3
1587714970,3,0
1587717139,0,4
1587718962,1,4
1587720770,1,3
1587722620,4,2
1587724824,1,1
1587726780,3,3
1587728660,2,1
1587730595,1,3
1587732504,2,0
1587734418,0,1
1587736337,3,3
1587738270,1,2
1587740218,1,3
1587742093,1,0
1587744267,1,2
1587746180,2,0
1587748101,1,1
1587750077,2,2
1587752187,1,1
1587754125,0,3
1587756025,1,1
1587757984,3,0
1587759870,1,4
1587761823,3,3
1587763943,3,2
1587765826,5,2
1587767771,0,1
1587769704,1,2
1587771617,2,2
1587773544,1,3
1587775478,2,1
1587777386,4,1
1587779315,0,2
1587781233,0,4
1587783149,3,2
1587785093,6,3
1587786989,4,1
1587788904,2,1
1587790980,3,4
1587792979,3,1
1587794904,1,2
1587796842,3,2
1587798986,1,0
1587800919,1,3
1587804740,0,1
1587806671,2,1
1587808581,2,3
1587810510,2,1
1587812552,1,2
1587814355,1,3
1587816273,1,2
1587818195,2,2
1587820115,3,0
1587822122,2,2
1587823957,3,2
1587825859,5,1
1587827775,3,1
1587829706,3,0
1587831620,1,3
1587833539,6,1
1587835476,2,1
1587837403,0,1
1587839298,2,1
1587841345,2,0
1587843145,3,2
1587845062,2,2
1587846989,6,2
1587848904,3,3
1587850818,3,4
1587852757,1,3
1587854662,2,1
1587856578,1,0
1587858510,6,2
1587860420,1,2
1587862345,0,2
1587864268,1,3
1587866181,1,0
1587868107,2,2
1587870195,3,4
1587872190,4,4
1587874109,2,5
1587876045,2,1
1587877954,3,2
1587879860,0,3
1587881778,3,1
1587883713,2,3
1587885667,3,1
1587887561,1,1
1587889482,3,0
1587891401,1,1
1587893566,1,1
1587895544,0,2
1587897385,5,2
1587899336,5,1
1587901242,1,1
1587903154,4,1
1587905058,1,3
1587906984,4,3
1587908794,2,1
1587910934,2,5
1587912743,5,4
1587914697,3,3
1587916605,2,2
1587918527,3,1
1587921389,1,7
1587923302,2,1
1587925253,2,1
1587927139,5,3
1587929066,3,3
1587930987,3,1
1587932902,2,7
1587935091,1,2
1587937118,3,4
1587939142,2,1
1587941057,1,2
1587942987,0,1
1587944897,4,6
1587946828,3,1
1587948737,1,0
1587950662,2,1
1587952589,3,1
1587954515,4,2
1587956543,1,3
1587958352,0,4
1587960285,0,2
1587962191,2,2
1587964097,3,3
1587967513,2,2
1587969380,1,2
1587971311,4,4
1587973233,3,1
1587975165,2,2
1587977076,2,1
1587978988,7,1
1587980905,3,1
1587982842,2,4
1587984758,0,3
1587986669,3,4
1587988606,1,1
1587990503,4,3
1587993388,1,5
1587995316,2,2
1587997235,2,2
1587999149,3,5
1588001107,2,3
1588002999,0,2
1588004925,1,3
1588007003,2,1
1588008993,1,2
1588010934,1,1
1588012836,3,6
1588014776,4,2
1588016659,0,4
1588018588,1,2
1588020508,3,0
1588022416,1,3
1588024338,1,2
1588026273,1,2
1588028189,1,0
1588031386,2,5
1588033226,2,2
1588035147,0,1
1588037092,2,2
1588038976,0,3
1588040899,4,4
1588042977,1,1
1588044986,3,0
1588047163,1,0
1588049122,3,3
1588051020,5,2
1588052917,4,2
1588054823,12,0
1588056745,0,4
1588058675,1,2
1588060615,6,3
1588062503,1,3
1588065396,2,7
1588067315,1,3
1588069223,0,2
1588073100,4,3
1588075073,1,2
1588076909,3,3
1588079897,4,1
1588081712,2,1
1588083545,2,3
1588085560,0,3
1588087729,1,2
1588091778,1,1
1588093708,1,2
1588095617,1,1
1588097543,1,1
1588099473,1,5
1588101392,1,2
1588105242,0,1
1588107141,2,3
1588109054,1,1
1588110988,1,1
1588112897,0,1
1588115775,1,1
1588117696,0,2
1588119657,3,2
1588121556,1,0
1588123473,1,2
1588125379,2,0
1588127305,0,4
1588129464,1,1
1588131393,0,3
1588133324,2,0
1588135221,2,3
1588137148,0,6
1588139069,1,3
1588140983,2,13
1588142911,6,0
1588144828,2,1
1588146740,1,5
1588148696,3,2
