DateTime,Entries,UniqueIPs
1587689788,2853,2853
1587691725,2840,2840
1587693821,2844,2844
1587695779,2814,2814
1587697704,2810,2810
1587699619,2787,2787
1587701534,2791,2791
1587703475,2806,2806
1587705371,2807,2807
1587707293,2814,2814
1587709225,2803,2803
1587711133,2813,2813
1587713066,2794,2794
1587714972,2790,2790
1587717140,2751,2751
1587718972,2724,2724
1587721252,2697,2697
1587723149,2649,2649
1587725068,2646,2646
1587727263,2719,2719
1587729144,2707,2707
1587731072,2670,2670
1587732984,2616,2616
1587734837,2586,2586
1587737069,2630,2630
1587738994,2666,2666
1587740900,2639,2639
1587742831,2605,2605
1587744999,2582,2582
1587746905,2529,2529
1587748857,2506,2506
1587750759,2509,2509
1587752655,2560,2560
1587754610,2560,2560
1587756499,2533,2533
1587758641,2468,2468
1587760615,2432,2432
1587762515,2420,2420
1587764474,2502,2502
1587766607,2537,2537
1587768747,2558,2558
1587770676,2622,2622
1587772603,2693,2693
1587774506,2760,2760
1587776663,2805,2805
1587778605,2776,2776
1587780505,2741,2741
1587782422,2725,2725
1587784349,2708,2708
1587786267,2698,2698
1587788430,2671,2671
1587790337,2648,2648
1587792264,2628,2628
1587794185,2621,2621
1587796099,2639,2639
1587798178,2641,2641
1587800183,2669,2669
1587802104,2706,2706
1587804017,2745,2745
1587806222,2801,2801
1587808095,2835,2835
1587810125,2869,2869
1587811962,2838,2838
1587813871,2788,2788
1587815805,2815,2815
1587817698,2836,2836
1587819857,2875,2875
1587821789,2879,2879
1587823959,2837,2837
1587825861,2850,2850
1587827777,2874,2874
1587829708,2921,2921
1587831624,2972,2972
1587833541,3006,3006
1587835478,3028,3028
1587837408,3021,3021
1587839300,2967,2967
1587841355,2951,2951
1587843385,2981,2981
1587845292,3010,3010
1587847214,3041,3041
1587849145,3024,3024
1587851052,2974,2974
1587852971,2999,2999
1587854908,3031,3031
1587856814,3020,3020
1587858732,3019,3019
1587860666,2990,2990
1587862571,2983,2983
1587864491,3001,3001
1587866476,3026,3026
1587868349,3028,3028
1587870196,3044,3044
1587872191,3062,3062
1587874110,3066,3066
1587876046,3091,3091
1587877955,3104,3104
1587879861,3098,3098
1587881779,3116,3116
1587883714,3110,3110
1587885668,3095,3095
1587887562,3086,3086
1587889484,3078,3078
1587891402,3049,3049
1587893567,3079,3079
1587895545,3093,3093
1587897386,3109,3109
1587899337,3095,3095
1587901243,3081,3081
1587903155,3096,3096
1587905059,3136,3136
1587906985,3156,3156
1587908795,3143,3143
1587910936,3099,3099
1587912744,3072,3072
1587914698,3045,3045
1587916606,2988,2988
1587918529,2983,2983
1587921390,3130,3130
1587923303,3138,3138
1587925254,3124,3124
1587927140,3116,3116
1587929068,3103,3103
1587930988,3150,3150
1587932903,3180,3180
1587935092,3174,3174
1587937120,3145,3145
1587939144,3097,3097
1587941060,3083,3083
1587942989,3079,3079
1587944899,3096,3096
1587946830,3093,3093
1587948739,3092,3092
1587950664,3091,3091
1587952591,3114,3114
1587954525,3147,3147
1587956572,3173,3173
1587958583,3178,3178
1587960515,3201,3201
1587962420,3195,3195
1587964350,3199,3199
1587967517,3231,3231
1587969383,3232,3232
1587971313,3245,3245
1587973236,3235,3235
1587975167,3252,3252
1587977087,3272,3272
1587979016,3263,3263
1587980907,3261,3261
1587982853,3277,3277
1587984760,3274,3274
1587986671,3281,3281
1587988608,3294,3294
1587990506,3257,3257
1587993391,3215,3215
1587995318,3243,3243
1587997238,3272,3272
1587999151,3291,3291
1588001110,3320,3320
1588003010,3357,3357
1588004928,3360,3360
1588007005,3253,3253
1588009933,3276,3276
1588011868,3315,3315
1588013774,3315,3315
1588015689,3331,3331
1588018591,3274,3274
1588020511,3284,3284
1588022419,3300,3300
1588024340,3317,3317
1588026276,3327,3327
1588028192,3327,3327
1588031389,3352,3352
1588033229,3361,3361
1588035150,3373,3373
1588038075,3407,3407
1588039953,3396,3396
1588041858,3387,3387
1588044016,3392,3392
1588045964,3386,3386
1588047898,3380,3380
1588049773,3380,3380
1588051747,3378,3378
1588053739,3352,3352
1588055791,3360,3360
1588057721,3360,3360
1588059620,3372,3372
1588061554,3369,3369
1588063458,3395,3395
1588065398,3409,3409
1588067318,3395,3395
1588069225,3392,3392
1588071147,3358,3358
1588073102,3352,3352
1588075076,3350,3350
1588076911,3367,3367
1588079899,3373,3373
1588081714,3378,3378
1588083547,3388,3388
1588085562,3374,3374
1588087731,3360,3360
1588089900,3365,3365
1588091780,3386,3386
1588093710,3384,3384
1588095619,3362,3362
1588097545,3360,3360
1588099476,3372,3372
1588101394,3367,3367
1588103294,3352,3352
1588105243,3367,3367
1588107144,3369,3369
1588109056,3382,3382
1588110990,3398,3398
1588112899,3412,3412
1588115777,3406,3406
1588117698,3388,3388
1588119659,3400,3400
1588121559,3427,3427
1588123476,3428,3428
1588125381,3399,3399
1588127309,3387,3387
1588129466,3393,3393
1588131397,3390,3390
1588133326,3361,3361
1588135223,3341,3341
1588137150,3349,3349
1588139071,3367,3367
1588140985,3377,3377
1588142922,3380,3380
1588144831,3370,3370
1588146742,3366,3366
1588148698,3347,3347
1588150591,3309,3309
1588152499,3279,3279
1588154696,3290,3290
1588156858,3290,3290
1588158747,3297,3297
1588160661,3294,3294
1588162843,3262,3262
1588164734,3258,3258
1588166691,3266,3266
1588168586,3254,3254
1588170492,3249,3249
1588172533,3252,3252
1588174347,3248,3248
1588176321,3258,3258
1588178196,3268,3268
1588180099,3269,3269
1588182053,3271,3271
1588183949,3270,3270
1588185926,3259,3259
1588187780,3270,3270
1588189715,3298,3298
1588191630,3292,3292
1588193543,3295,3295
1588195464,3287,3287
1588197400,3283,3283
1588199300,3282,3282
1588201380,3273,3273
1588203204,3277,3277
1588205080,3287,3287
1588206981,3306,3306
1588208910,3309,3309
1588210953,3307,3307
1588212757,3328,3328
1588214661,3331,3331
1588216599,3339,3339
1588218548,3357,3357
1588220434,3367,3367
1588222355,3203,3203
1588224263,3196,3196
1588226249,3157,3157
1588228125,3149,3149
1588230285,3140,3140
1588232189,3144,3144
1588234103,3130,3130
1588236023,3111,3111
1588237950,3109,3109
1588239885,3126,3126
1588242159,3107,3107
1588244176,3119,3119
1588246094,3106,3106
1588248208,3114,3114
1588250180,3110,3110
1588252096,3080,3080
1588254015,3073,3073
1588255944,3095,3095
1588258039,3086,3086
1588260027,3068,3068
1588261934,3044,3044
1588263864,3016,3016
1588265772,2986,2986
1588267753,3006,3006
1588270598,3032,3032
1588272515,3067,3067
1588275051,3058,3058
1588276961,3025,3025
1588279000,2999,2999
1588280902,2983,2983
1588282829,2961,2961
1588284778,2940,2940
1588286658,2909,2909
1588288572,2897,2897
1588290506,2883,2883
1588292459,2858,2858
1588294333,2821,2821
1588296269,2784,2784
1588298181,2765,2765
1588300117,2731,2731
1588302246,2694,2694
1588304212,2655,2655
1588306138,2625,2625
1588308029,2605,2605
1588309982,2416,2416
1588311941,2409,2409
1588313802,2369,2369
1588315877,2338,2338
1588317769,2305,2305
1588319648,2288,2288
1588321460,2271,2271
1588323426,2243,2243
1588325309,2197,2197
1588327493,2154,2154
1588329393,2132,2132
1588331304,2124,2124
1588333276,2122,2122
1588335152,2107,2107
1588337080,2083,2083
1588338986,2063,2063
1588340933,2017,2017
1588342824,1967,1967
1588344747,1969,1969
1588346679,1962,1962
1588348575,1945,1945
1588350533,1939,1939
1588352588,1921,1921
1588354577,1868,1868
1588356506,1810,1810
1588358419,1773,1773
1588360336,1750,1750
1588362266,1746,1746
1588364177,1746,1746
1588366353,1737,1737
1588368265,1729,1729
1588370194,1733,1733
1588372198,1721,1721
1588374265,1725,1725
1588376204,1728,1728
1588378092,1721,1721
1588380021,1711,1711
1588381945,1697,1697
1588383867,1677,1677
1588386030,1672,1672
1588387961,1673,1673
1588389926,1686,1686
1588391789,1690,1690
1588393708,1718,1718
1588395858,1717,1717
1588397666,1695,1695
1588399506,1694,1694
1588401387,1711,1711
1588403350,1712,1712
1588405245,1730,1730
1588407196,1730,1730
1588409082,1729,1729
1588410997,1733,1733
1588412940,1739,1739
1588414876,1748,1748
1588416818,1748,1748
1588418826,1720,1720
1588422029,1705,1705
1588423948,1694,1694
1588425895,1685,1685
1588427775,1694,1694
1588429698,1685,1685
1588431772,1641,1641
1588433787,1643,1643
1588435963,1645,1645
1588437864,1654,1654
1588439848,1672,1672
1588441711,1692,1692
1588443640,1714,1714
1588445545,1728,1728
1588447472,1741,1741
1588449403,1743,1743
1588451298,1748,1748
1588453315,1733,1733
1588455189,1726,1726
1588457191,1728,1728
1588458997,1745,1745
1588460913,1733,1733
1588462844,1717,1717
1588464746,1716,1716
1588466656,1740,1740
1588468593,1751,1751
1588470502,1779,1779
1588472432,1789,1789
1588474359,1799,1799
1588476260,1798,1798
1588478206,1812,1812
1588480102,1809,1809
1588482135,1807,1807
1588483957,1805,1805
1588485832,1791,1791
1588487830,1782,1782
1588489711,1803,1803
1588491634,1803,1803
1588493563,1799,1799
1588495468,1782,1782
1588497390,1789,1789
1588499348,1810,1810
1588501222,1815,1815
1588503157,1829,1829
1588505108,1824,1824
1588506984,1810,1810
1588508901,1802,1802
1588511056,1798,1798
1588513020,1787,1787
1588514930,1773,1773
1588516844,1767,1767
1588518745,1750,1750
1588520670,1720,1720
1588522611,1703,1703
1588524507,1689,1689
1588526436,1663,1663
1588528366,1645,1645
1588530341,1628,1628
1588532197,1610,1610
1588534150,1578,1578
1588536188,1565,1565
1588538174,1618,1618
1588540390,1658,1658
1588542261,1645,1645
1588544513,1632,1632
1588546344,1623,1623
1588548257,1647,1647
1588550193,1661,1661
1588552107,1684,1684
1588554166,1680,1680
1588556172,1648,1648
1588558119,1657,1657
1588560041,1672,1672
1588561933,1677,1677
1588563866,1669,1669
1588566027,1669,1669
1588567994,1696,1696
1588569886,1723,1723
1588571782,1751,1751
1588573722,1768,1768
1588575909,1777,1777
1588577818,1791,1791
1588579996,1809,1809
1588581926,1840,1840
1588583791,1854,1854
1588585729,1863,1863
1588587684,1868,1868
1588589556,1860,1860
1588591475,1889,1889
1588593433,1927,1927
1588595312,1952,1952
1588597403,1978,1978
1588599384,2016,2016
1588601212,2045,2045
1588603223,2064,2064
1588605191,2083,2083
1588607079,2101,2101
1588609008,2132,2132
1588610911,2160,2160
1588612828,1996,1996
1588614743,2008,2008
1588616676,2031,2031
1588618635,1930,1930
1588620530,1962,1962
1588622745,1958,1958
1588624590,1921,1921
1588626513,1909,1909
1588628469,1934,1934
1588630370,1959,1959
1588632257,1985,1985
1588634180,1986,1986
1588636149,1984,1984
1588638066,1989,1989
1588639940,1982,1982
1588641940,1994,1994
1588643812,2006,2006
1588645754,2010,2010
1588647888,2009,2009
1588649804,2029,2029
1588651717,2030,2030
1588653630,2029,2029
1588655578,1928,1928
1588657464,1921,1921
1588659397,1866,1866
1588661312,1861,1861
1588663267,1849,1849
1588665145,1835,1835
1588667086,1836,1836
1588668985,1829,1829
1588670905,1829,1829
1588673095,1831,1831
