DateTime,AddedIPs,RemovedIPs
1587818059,14,6
1587819311,13,11
1587821120,22,15
1587822575,11,11
1587824570,6,17
1587825256,4,3
1587828860,9,19
1587830451,17,8
1587831917,12,10
1587833417,10,9
1587834913,9,5
1587836060,6,6
1587838051,13,14
1587839392,5,18
1587840621,8,6
1587842498,12,11
1587843777,12,9
1587846056,8,10
1587847438,4,12
1587849298,15,12
1587850525,6,9
1587852214,10,9
1587853521,3,7
1587854056,5,3
1587857659,13,15
1587860042,13,11
1587862218,15,15
1587864319,10,10
1587867355,27,21
1587868461,15,5
1587869872,11,12
1587871519,8,15
1587872976,13,18
1587875660,9,8
1587876983,11,6
1587878630,17,9
1587880216,7,14
1587881622,10,9
1587882860,9,8
1587884331,4,2
1587885922,5,6
1587886459,1,0
1587889029,17,8
1587890058,8,10
1587891240,10,13
1587892688,14,12
1587893659,12,6
1587895057,12,12
1587896416,43,10
1587898854,20,31
1587900317,10,19
1587901615,3,10
1587904457,17,19
1587905696,3,7
1587908060,9,23
1587909650,2,5
1587911660,7,6
1587912797,4,3
1587914126,2,4
1587915488,2,6
1587916622,2,7
1587918321,4,7
1587918856,0,3
1587920636,6,4
1587922458,2,4
1587923779,2,3
1587925516,9,2
1587926059,0,2
1587928518,5,27
1587929657,1,3
1587931113,9,6
1587932315,4,2
1587933892,2,11
1587935679,4,5
1587936860,5,8
1587937995,3,3
1587940461,12,11
1587942256,5,11
1587944061,13,10
1587945822,12,8
1587947117,10,2
1587948621,7,6
1587950331,1,11
1587951588,5,6
1587952972,16,3
1587954319,14,8
1587955820,6,8
1587957922,17,7
1587961520,5,14
1587962625,5,6
1587965119,10,8
1587965661,2,1
1587968525,11,11
1587970172,8,11
1587971388,7,4
1587972858,7,4
1587975118,15,15
1587976458,12,4
1587978089,5,13
1587979467,10,4
1587980800,4,10
1587982194,5,8
1587983661,7,7
1587985532,5,8
1587986721,8,5
1587988005,4,6
1587989169,5,4
1587990859,2,6
1587992730,6,9
1587993918,4,4
1587995096,4,2
1587996672,14,8
1587998126,13,3
1587999468,11,5
1588001658,5,11
1588004372,7,16
1588005258,4,4
1588007044,5,9
1588008859,6,9
1588011621,4,11
1588013260,4,2
1588015038,5,4
1588016057,7,5
1588019662,13,17
1588023259,11,12
1588025820,7,6
1588027028,7,7
1588028461,3,7
1588029922,7,1
1588033065,25,13
1588037657,11,26
1588038909,6,4
1588040720,9,6
1588041263,5,2
1588042408,5,3
1588043502,4,4
1588044860,8,8
1588047540,14,11
1588048461,2,4
1588049879,4,6
1588051163,7,3
1588052065,2,1
1588054362,6,14
1588055658,5,3
1588056987,6,3
1588059258,17,7
1588061658,9,12
1588062929,8,9
1588064363,6,6
1588065546,4,2
1588067030,7,10
1588068388,5,7
1588070059,6,6
1588071555,115,6
1588073029,226,22
1588073662,1,16
1588076444,14,54
1588077261,7,22
1588078406,1,18
1588080858,181,11
1588082241,5,104
1588083920,7,37
1588085333,9,21
1588086809,13,24
1588088061,7,22
1588089216,7,15
1588090932,10,29
1588091659,5,9
1588093421,21,26
1588094722,9,43
1588095918,7,36
1588097038,2,24
1588098856,6,32
1588100195,3,9
1588102462,5,13
1588104647,9,7
1588106059,8,7
1588109660,20,16
1588110924,6,5
1588113264,3,15
1588116857,14,18
1588119358,12,12
1588121420,6,16
1588123523,8,8
1588124842,7,9
1588127665,12,16
1588129936,9,12
1588131261,8,4
1588133300,14,6
1588134862,4,8
1588137906,11,16
1588138459,3,5
1588140937,10,9
1588142062,5,1
1588144920,16,18
1588145658,6,5
1588147164,7,12
1588148277,3,5
1588149258,4,4
1588151172,6,6
1588152859,4,7
1588155919,14,10
1588157419,2,12
1588159522,10,7
1588160963,6,6
1588163120,11,13
1588164621,11,7
1588167259,12,18
1588168792,9,9
1588170319,6,7
1588170857,4,0
1588173395,4,13
1588174460,3,2
1588176986,10,4
1588178057,5,6
1588181121,8,8
1588181661,0,4
1588183386,6,7
1588185259,13,3
1588187042,12,11
1588188854,11,5
1588191423,5,12
1588193422,3,7
1588195066,13,4
1588196379,6,5
1588198419,13,9
1588200226,16,9
1588201701,10,10
1588206121,18,25
1588206861,1,6
1588208547,7,5
1588210461,1,2
1588211928,4,7
1588213523,6,3
1588215023,9,4
1588216859,6,10
1588217664,1,2
