DateTime,AddedIPs,RemovedIPs
1587649823,0,1
1587650720,0,1
1587651924,168,0
1587654324,0,1
1587655525,1,0
1587657923,2,0
1587661517,1,0
1587661820,1,0
1587663018,1,0
1587668722,2,1
1587669018,16,1
1587669319,0,2
1587672319,4,0
1587675018,1,0
1587675320,2,0
1587675621,495,0
1587675919,722,0
1587679518,5,0
1587681619,4,0
1587683121,0,1
1587684018,0,1
1587684617,0,1
1587687919,667,0
1587690320,2,0
1587694217,10,1
1587697520,4,0
1587700820,1,0
1587701417,1,0
1587703518,18,0
1587703820,5,0
1587705017,1,0
1587705924,1,0
1587708318,1,1
1587709522,1,0
1587710719,0,1
1587711917,1,0
1587714617,2,0
1587715520,2,0
1587716421,14,0
1587717021,70,0
1587717620,1,0
1587719119,1,0
1587721219,1,0
1587721522,8,0
1587722118,1,0
1587722721,1,1
1587724821,1,0
1587726619,1,0
1587728119,19,0
1587729920,0,1
1587731718,1,0
1587733520,18,0
1587734420,43,0
1587735922,1,0
1587737120,11,0
1587740719,6,0
1587744323,11,3
1587744926,2,0
1587747921,7,0
1587749722,1,0
1587751520,17,0
1587752120,1,0
1587753621,2,0
1587755119,25,0
1587756918,107,0
1587758722,4,0
1587762318,12,1
1587763817,2,0
1587765920,10,0
1587769519,8,0
1587773119,11,0
1587776719,181,0
1587780318,2,0
1587783321,3,0
1587783919,6,0
1587787520,3,0
1587791118,3,0
1587795018,2,0
1587798319,1,0
1587802819,21,0
1587803120,3,0
1587805519,8,0
1587807619,4,0
1587809419,4,0
1587811821,19,0
1587812119,177,0
1587812718,0,1
1587815124,1,0
1587816320,1,0
1587819920,4,0
1587822620,26,0
1587823520,2,1
1587827121,5,0
1587834320,4,1
1587837920,5,0
1587839121,57,0
1587839425,815,0
1587839719,784,0
1587840023,134,0
1587841521,2,0
1587843918,16,0
1587844223,1,0
1587845120,1,1
1587845720,9,0
1587848719,7,0
1587849619,34,0
1587849919,90,0
1587852318,2,1
1587854118,0,2
1587855919,1,0
1587858019,2,0
1587858620,13,0
1587859521,4,0
1587862219,2,0
1587865818,34,0
1587870022,1,0
1587872724,1,0
1587873019,1,0
1587873919,2,1
1587875717,1,0
1587877518,2,0
1587881120,1,1
1587885319,182,0
1587889519,2,0
1587891317,1,0
1587891919,1,1
1587892520,5,0
1587894619,1,0
1587896721,4,0
1587897319,1,0
1587898821,2,0
1587900922,2,0
1587901220,24,0
1587902720,0,1
1587906318,3,0
1587913520,1,1
1587914121,146,0
1587917121,2,0
1587918022,35,0
1587920720,0,1
1587924319,0,1
1587927622,19,0
1587931520,0,1
1587934220,17,0
1587935121,1,1
1587936322,1,0
1587937520,1,0
1587938719,1,0
1587939018,1,0
1587945917,1,0
1587948319,1,0
1587949519,2,1
1587957319,48,0
1587957622,2,0
1587960318,9,0
1587960619,1,0
1587963920,9,0
1587966318,6,0
1587967518,2,0
1587969620,2,0
1587971120,4,0
1587972320,1,0
1587973821,25,2
1587974119,228,0
1587975019,2,0
1587977123,1,0
1587978319,3,1
1587979222,60,0
1587979523,2,0
1587982217,2,0
1587985222,0,1
1587985521,139,1
1587985819,1,0
1587989122,3,0
1587992720,4,1
1587996319,1,0
1588000219,1,0
1588003522,1,1
1588005320,40,0
1588005621,1,0
1588007121,0,2
1588012520,60,0
1588012823,4,0
1588017921,1,0
1588028720,1,0
1588030818,1,0
1588032318,1,1
1588032922,10,0
1588033220,242,0
1588039519,2,0
1588041619,3,0
1588043118,2,0
1588043420,30,0
1588045521,0,2
1588045819,3,2
1588046119,181,0
1588046717,1,0
1588049120,2,0
1588049418,3,0
1588050319,1,0
1588054217,0,1
1588057519,1,0
1588061120,2,0
1588065921,0,1
1588068618,1,0
1588071922,2,0
1588075822,34,0
1588079122,21,1
1588079421,9,0
1588079725,88,0
1588082718,19,1
1588085419,1,0
1588086620,7,0
1588088120,11,0
1588089919,20,1
1588093521,7,1
1588097122,14,0
1588100719,6,0
1588104021,4,0
1588104319,11,0
1588107919,59,0
1588111521,34,0
1588115119,16,1
1588116318,18,0
1588118423,0,1
1588118719,6,0
1588119018,480,0
1588122618,143,0
1588126218,80,0
1588129819,16,0
1588133419,25,0
1588137021,14,0
1588140320,1,0
1588140619,27,0
1588144219,15,0
1588147821,14,0
1588151120,0,1
1588151419,9,0
1588155022,20,0
1588157722,1,0
1588158622,6,0
1588162222,4,1
1588165522,1,0
1588165822,4,0
1588169423,4,0
1588173331,5,0
1588176621,5,0
1588180219,8,0
1588183519,0,2
1588183818,4,0
1588187419,3,0
1588191018,8,0
1588191319,1,0
1588194620,11,0
1588198218,3,0
1588201819,8,0
1588205418,6,0
1588209018,3,0
1588212621,7,0
1588215320,0,1
1588215623,88,1
1588216524,4,0
1588219817,9,0
1588223423,4,0
1588227022,5,0
1588230321,0,1
1588230922,1,0
1588234220,5,0
1588237821,8,0
1588241422,2,0
1588242326,0,2
1588245023,3,0
1588246225,17,0
1588246522,130,0
1588248321,0,1
1588248921,3,0
1588252222,5,0
1588253124,0,1
1588255825,5,0
1588259422,5,0
1588262725,0,2
1588263024,3,1
1588266322,0,1
1588266623,2,0
1588270521,1,0
1588274122,4,0
1588277420,594,0
1588281020,159,0
1588284618,54,0
1588288218,44,0
1588291518,0,1
1588291820,27,0
1588295419,12,0
1588299021,12,0
1588302619,6,0
1588305621,4,0
1588306218,19,0
1588309518,0,1
1588309820,4,0
1588311318,137,3
1588311619,5,0
1588313418,4,0
1588317019,54,0
1588320918,46,0
1588324218,10,0
1588328120,9,0
1588331418,4,0
1588334719,0,2
1588335019,2,0
1588338620,29,0
1588341919,11,0
1588342219,5,0
1588344618,2,0
1588345818,3,0
1588348821,2,0
1588349119,1,0
1588350918,1,0
1588351522,1,0
1588353018,6,0
1588353320,1,0
1588356619,436,0
1588359319,0,1
1588359621,0,10
1588359920,0,4
1588360219,114,6
1588360519,0,3
1588360820,0,13
1588361121,0,5
1588361419,0,3
1588362020,1604,5
1588362618,0,17
1588362918,0,9
1588363221,0,2
1588363518,0,3
1588363818,22,5
1588364120,0,7
1588364418,0,4
1588364720,0,1
1588367417,13,0
1588370117,4,0
1588371318,10,0
1588374618,277,0
1588377920,10,0
1588378217,22,0
1588380620,1,0
1588381821,48,0
1588383921,0,1
1588385118,4,0
1588385418,33,0
1588386021,83,0
1588389018,21,0
1588389918,1,0
1588392617,21,0
1588392920,6,0
1588393519,1,0
1588396521,17,0
1588399818,45,0
1588400728,3,0
1588403719,10,0
1588407021,4,0
1588410617,9,0
1588414218,10,0
1588417818,9,0
1588421119,0,1
1588421417,4,0
1588424718,1,1
1588425018,2,0
1588428022,43,0
1588428319,13,0
1588428619,7,0
1588432221,14,0
1588435520,0,1
1588435819,6,0
1588437319,7,0
1588439418,9,0
1588443019,4,0
1588443922,43,0
1588445419,1,0
1588446618,4,0
1588449619,2,0
1588450217,6,0
1588452620,1,0
1588452917,22,0
1588453219,156,0
1588453518,22,0
1588453818,5,1
1588456516,4,0
1588457417,6,0
1588460717,3,0
1588461317,6,0
1588464021,5,0
1588464617,4,0
1588468217,4,0
1588471818,3,0
1588475418,6,0
1588479018,3,0
1588481120,56,0
1588482619,12,0
1588485918,0,1
1588486517,4,0
1588486819,4,0
1588487123,1,0
1588488021,1,0
1588489819,4,0
1588493420,3,0
1588497019,7,0
1588498220,37,0
1588500621,4,0
1588501219,25,0
1588501520,171,0
1588502722,0,2
1588504219,5,0
1588507519,0,1
1588507818,5,0
1588511420,2,0
1588515020,9,0
1588516219,19,0
1588517120,2,0
1588517419,1,0
