DateTime,Entries,UniqueIPs
1588163104,22697,40159
1588163767,22684,40146
1588164604,22584,40044
1588165695,22591,40051
1588167627,22419,39874
1588168765,22323,39779
1588169533,22322,39777
1588170304,22372,39830
1588170844,22262,39720
1588171458,22258,39716
1588173376,22254,39710
1588173380,22154,38587
1588175299,22077,38507
1588177207,22075,38503
1588179141,21963,38388
1588181049,21963,38388
1588181103,21965,38394
1588181712,21877,38561
1588182968,21864,38548
1588183371,21835,38517
1588184887,21830,38512
1588185243,21792,38472
1588186815,21789,38469
1588187029,21737,38419
1588188740,21732,38414
1588188844,21683,38366
1588190653,21681,38364
1588191405,21672,38356
1588192568,21665,38349
1588193404,21624,38308
1588194500,21612,38296
1588195054,21637,38320
1588196408,21636,38321
1588198336,21543,38226
1588198406,21561,38247
1588200265,21565,38251
1588202171,21813,38501
1588203093,21889,38833
1588204098,21885,38828
1588204206,21806,38751
1588206020,21792,38736
1588206108,21801,38744
1588206844,21661,38600
1588207930,21664,38604
1588208527,4342,20981
1588209851,4340,20979
1588210444,21607,38545
1588211771,21608,38547
1588211916,21542,38481
1588213700,21538,38476
1588214710,21612,38547
1588215625,21551,38489
1588216846,21518,38455
1588217580,21526,38463
1588217677,21424,38362
1588219466,21428,38366
1588220704,21404,38351
1588221369,21406,38353
1588221911,21296,38245
1588223310,21286,38237
1588223451,21260,38207
1588225212,21250,38197
1588226374,21151,38102
1588227133,21132,38084
1588228443,21160,38107
1588229059,21156,38103
1588230387,21155,38103
1588230973,21150,38099
1588231503,21183,38134
1588232896,21185,38136
1588233515,21167,38115
1588234809,21160,38109
1588235103,21209,38157
1588235643,21169,38117
1588236733,21164,38112
1588237076,21158,38104
1588238655,21145,38090
1588238707,21156,38103
1588239244,21109,38060
1588240568,21111,38062
1588242486,20512,37460
1588244432,20697,37638
1588246332,20705,37647
1588247181,20693,37638
1588248502,20693,37638
1588249239,20729,37673
1588250044,20695,37638
1588250418,20701,37644
1588251612,20703,35863
1588252030,20664,35824
1588252333,20668,35828
1588254259,20666,35826
1588254603,20660,35821
1588256416,20660,35822
1588257586,20679,35841
1588258329,20677,35839
1588258842,20646,35807
1588259710,20643,36313
1588260251,20639,36309
1588260304,20687,36358
1588261030,20688,36104
1588261503,20643,35805
1588262174,20633,35795
1588262570,20388,35537
1588264085,20384,35534
1588264445,20292,35441
1588266029,20287,35436
1588267933,20293,35442
1588268043,19954,35099
1588270104,19964,35109
1588271645,19966,35110
1588272021,19962,35106
1588273075,19981,35127
1588273932,19976,35122
1588274380,19971,35119
1588275858,19966,35114
1588275911,19969,34862
1588277775,19909,34795
1588278304,19956,34842
1588279695,19948,34834
1588279803,19896,34776
1588281604,19891,34770
1588281625,19907,34786
1588283533,19880,34758
1588284243,19876,34751
1588285463,19879,34754
1588286044,19884,34763
1588287413,19881,34758
1588288179,19890,34765
1588289288,20132,35011
1588289850,20064,34938
1588291229,20061,34935
1588292704,20107,34979
1588293213,20119,34991
1588294098,20092,34963
1588295303,20105,34976
1588297213,20141,35012
1588298682,20122,34993
1588299146,20125,34997
1588300443,20109,34980
1588301049,20122,34994
1588302973,20132,35005
1588303053,20147,35024
1588304894,20143,35021
1588305003,20099,34978
1588306827,20103,34983
1588307611,20100,34977
1588308739,20110,34988
1588309411,20120,35002
1588310652,20132,35012
1588311243,20158,35038
1588312566,20159,35039
1588312817,20160,35295
1588313186,20176,35312
1588314497,20189,35325
1588316662,20215,35345
1588318594,20195,35332
1588320502,20191,35324
1588321504,20242,35376
1588322422,20182,35314
1588324029,20160,35289
1588324330,20149,35277
1588325644,20138,35269
1588326251,20127,35258
1588326742,20126,35254
1588328177,19555,34669
1588328178,19541,34656
1588329244,19522,34640
1588330097,19524,34642
1588330732,19492,34606
1588332016,19772,34893
1588333932,19817,34939
1588334886,19753,34873
1588335857,19755,34874
1588336870,19758,34874
1588337769,19753,34868
1588338005,19755,34869
1588339684,19754,34869
1588340710,19716,35084
1588341630,19721,35088
1588341834,19730,35095
1588343655,19734,35099
1588345466,19725,35091
1588345796,19717,35080
1588347377,19722,35085
1588347910,19687,35304
1588349310,19681,35301
1588350844,19655,35276
1588351219,19662,35282
1588351936,19646,35266
1588353135,19654,35274
1588353903,19690,35310
1588354444,19638,35257
1588355055,19641,35261
1588356294,19645,35265
1588356970,19650,35270
1588357476,19687,35307
1588359131,19691,35311
1588361048,19695,35315
1588361103,19685,35303
1588362311,19684,35557
1588362976,19688,35563
