DateTime,AddedIPs,RemovedIPs
1588384773,15,12
1588385493,20,15
1588386010,15,34
1588386213,8,7
1588386933,8,11
1588387653,7,12
1588387941,23,17
1588388373,15,17
1588389094,8,8
1588389860,28,9
1588390533,12,9
1588391253,13,13
1588391769,15,24
1588391973,15,9
1588392693,12,13
1588393211,25,0
1588393413,12,10
1588393692,19,17
1588394133,8,11
1588394853,8,9
1588395624,36,30
1588396533,10,12
1588397253,8,17
1588397618,12,21
1588397973,7,11
1588398692,7,8
1588399465,19,27
1588400133,6,13
1588400853,7,5
1588401371,12,13
1588401574,5,7
1588402292,6,7
1588403315,27,24
1588403973,7,13
1588404693,3,13
1588405211,15,0
1588405413,4,3
1588406133,4,9
1588406853,8,7
1588407137,13,23
1588407573,8,6
1588407851,13,1
1588408293,9,8
1588409013,3,9
1588409733,3,9
1588410453,7,16
1588410973,20,29
1588411173,4,11
1588411893,11,9
1588412613,8,5
1588413333,11,7
1588414053,11,9
1588414821,31,29
1588415492,10,14
1588416212,8,6
1588416730,25,29
1588417174,10,16
1588417892,6,9
1588418662,43,27
1588419333,9,7
1588420052,3,6
1588420568,14,11
1588420773,0,5
1588421492,7,7
1588422213,8,8
1588422495,40,16
1588422933,7,8
1588423209,3,0
1588423653,11,3
1588424424,19,17
1588425093,6,9
1588425813,3,3
1588426337,24,15
1588426533,9,6
1588427253,5,3
1588427973,9,5
1588428255,13,10
1588428693,6,4
1588429412,7,7
1588430185,31,23
1588430853,8,9
1588431572,4,3
1588432107,15,17
1588432293,6,20
1588433013,9,3
1588433733,5,9
1588434013,12,21
1588434452,4,4
1588435173,5,6
1588435948,34,25
1588436613,12,9
1588437127,20,1
1588437332,7,1
1588437854,23,18
1588438053,5,9
1588438772,6,6
1588439492,0,11
1588439765,23,26
1588440213,3,14
1588440933,2,5
1588441700,16,17
1588442374,5,7
1588443093,3,10
1588443609,14,15
1588443813,12,8
1588444534,3,10
1588445253,3,6
1588445534,31,15
1588445973,6,9
1588446693,2,9
1588447460,29,23
1588448132,12,15
1588448853,8,22
1588449370,14,13
1588449573,6,19
1588450293,6,11
1588451013,3,7
1588451290,17,0
1588451777,19,12
1588452453,4,12
1588453229,33,36
1588453894,1,11
1588454613,0,7
1588455332,5,9
1588456085,5,13
1588456773,2,11
1588457063,20,22
1588457493,11,16
1588458213,4,9
1588458932,3,9
1588459652,5,10
1588460372,3,19
1588460907,22,33
1588461332,6,8
1588462052,2,6
1588462819,19,25
1588463492,10,11
1588464213,6,15
1588464740,14,18
1588464933,17,16
1588465652,5,13
1588466412,24,10
1588466648,11,6
1588466888,3,0
1588467093,14,12
1588468053,15,14
1588468572,6,10
1588468773,2,17
1588469492,9,9
1588470213,4,16
1588470491,9,10
1588470933,7,19
1588471654,5,18
1588472422,14,22
1588473094,2,7
1588473812,6,10
1588474333,13,12
1588474533,10,11
1588475253,13,9
1588475972,5,10
1588476693,8,13
1588477413,9,14
1588478177,28,39
1588478852,6,16
1588479573,12,8
1588480094,18,15
1588480293,11,11
1588481058,28,12
1588481733,5,7
1588482013,15,8
1588482452,7,8
1588483172,7,5
1588483947,22,17
1588484613,9,6
1588485332,13,7
1588486114,21,27
1588486773,6,4
1588487492,4,12
1588488014,7,0
1588488452,32,432
1588489174,5,11
1588489942,21,13
1588490613,5,7
1588491332,8,1
1588491850,10,12
1588492052,9,5
1588492773,6,7
1588493493,14,8
1588493775,8,17
1588494213,5,12
1588494932,7,5
1588495698,37,14
1588496373,6,6
1588497092,9,9
1588497608,12,16
1588497813,6,6
1588498532,5,10
1588499253,5,11
1588499528,7,11
1588499973,5,7
1588500692,10,9
1588501462,24,28
1588502132,3,9
1588502853,3,9
1588503368,18,25
1588503573,4,6
1588504292,3,7
1588505012,14,2
1588505733,4,8
1588506452,4,4
1588507225,24,31
1588507892,9,7
1588508612,11,8
1588509238,26,31
1588509813,10,5
1588510326,18,1
1588510576,13,11
1588511253,6,7
1588511972,10,3
1588512692,8,5
1588513412,10,8
1588514133,4,7
1588514852,1,8
1588515133,1,34
1588515573,5,7
1588516293,5,12
1588517057,17,14
1588517733,5,10
1588518452,4,4
1588519173,4,7
1588519892,7,8
1588520612,8,5
1588520890,12,11
1588521332,6,6
1588522053,7,11
1588522772,6,14
1588523492,6,8
1588523772,12,45
1588524213,8,5
1588524973,27,6
1588525652,8,4
1588526373,10,2
1588527093,12,3
1588527609,21,43
1588527812,7,3
1588528533,14,10
1588529253,8,3
1588529530,16,0
1588529974,5,7
1588530692,7,7
1588531454,21,24
1588532133,7,4
1588532852,6,5
1588533363,10,29
1588533572,6,7
1588534293,11,8
1588535013,8,10
1588535284,12,25
1588535732,6,8
1588536453,5,6
1588537214,18,30
1588537892,9,2
1588538612,7,6
1588539130,10,13
1588539333,5,5
1588539608,10,0
1588540293,5,6
1588541053,11,21
1588541733,5,5
1588542453,1,6
1588543173,19,1
1588543685,1,0
1588543893,5,9
1588544613,2,7
1588544885,13,30
1588545333,5,4
1588546052,5,4
1588546825,16,30
1588547732,6,5
1588548452,3,2
1588548736,18,22
1588549172,4,2
1588549893,3,7
1588550909,21,30
1588551573,4,13
1588552293,8,4
1588552808,13,18
1588553012,7,5
1588553732,5,14
1588554509,59,15
1588555172,11,2
1588555893,12,9
1588556655,26,28
1588557333,13,10
1588558052,20,5
1588558564,11,17
1588558773,14,4
1588559493,9,6
1588560213,6,6
1588560483,12,9
1588560933,13,10
1588561653,11,13
1588562412,20,18
1588563093,9,9
1588563813,9,9
1588564325,8,13
1588564533,11,13
1588565492,17,12
1588566256,26,30
1588566933,9,8
1588567652,9,5
1588568163,21,21
1588568373,9,13
1588569138,23,11
1588569813,5,5
1588570084,7,10
1588570533,6,6
1588571252,9,10
1588572018,13,19
1588572693,7,5
1588573413,11,3
1588573933,6,0
1588574132,14,6
1588574852,7,3
1588575573,432,8285
1588576106,12,16
1588576292,14,14
1588577013,16,5
1588577733,8,9
1588578030,11,0
1588578453,3,8
1588579172,4,4
1588579947,18,29
1588580613,12,6
1588581332,9,7
1588581848,13,29
1588582293,11,9
1588583253,10,11
1588583770,37,15
1588583973,5,2
1588584693,11,8
1588585412,8,4
1588585687,13,15
1588586133,11,3
1588586852,7,9
1588587572,12,8
1588588293,9,4
1588589013,10,5
