DateTime,Entries,UniqueIPs
1587708967,5488,5488
1587710888,5487,5487
1587712813,5509,5509
1587714732,5506,5506
1587716657,5487,5487
1587718567,5443,5443
1587720486,5415,5415
1587722422,2466,2466
1587724343,2473,2473
1587726295,3650,3650
1587728180,3612,3612
1587730110,3581,3581
1587732025,3570,3570
1587733941,3579,3579
1587735848,3595,3595
1587737766,3580,3580
1587739693,3533,3533
1587741610,3490,3490
1587743527,3482,3482
1587745452,3464,3464
1587747365,3445,3445
1587749293,3436,3436
1587751214,3429,3429
1587753141,3428,3428
1587755057,3429,3429
1587756979,3434,3434
1587758895,3411,3411
1587760828,3458,3458
1587762731,3443,3443
1587764648,3440,3440
1587766572,3446,3446
1587768733,3425,3425
1587770649,4530,4530
1587772573,4546,4546
1587774493,4553,4553
1587776412,4562,4562
1587778341,4566,4566
1587780256,4567,4567
1587782169,4546,4546
1587784101,4526,4526
1587786012,4528,4528
1587787934,4515,4515
1587789858,4522,4522
1587791766,4508,4508
1587793688,4511,4511
1587795623,4494,4494
1587797529,4491,4491
1587799447,4456,4456
1587801377,4449,4449
1587803286,4441,4441
1587805214,4419,4419
1587807177,4397,4397
1587809064,2192,2192
1587810968,2196,2196
1587812906,3259,3259
1587814813,3305,3305
1587816740,3354,3354
1587818646,3333,3333
1587820567,3328,3328
1587822492,3348,3348
1587824406,3336,3336
1587826328,3318,3318
1587828257,3308,3308
1587830166,3313,3313
1587832086,3296,3296
1587834021,3284,3284
1587835934,3288,3288
1587837851,3286,3286
1587839776,3273,3273
1587841689,3278,3278
1587843759,3253,3253
1587845769,3265,3265
1587847695,3283,3283
1587849604,3311,3311
1587851526,3330,3330
1587853455,3340,3340
1587855371,3386,3386
1587857285,4381,4381
1587859221,4431,4431
1587861133,4427,4427
1587863053,4414,4414
1587864977,4448,4448
1587866888,4469,4469
1587868808,4471,4471
1587870736,4457,4457
1587872650,4443,4443
1587874569,4467,4467
1587876494,4469,4469
1587878406,4475,4475
1587880326,4469,4469
1587882259,4470,4470
1587884166,4489,4489
1587886337,4469,4469
1587888255,4467,4467
1587890179,4484,4484
1587892095,4496,4496
1587894028,4516,4516
1587895935,2550,2550
1587897849,2548,2548
1587899777,3537,3537
1587901696,3540,3540
1587903608,3507,3507
1587905835,3491,3491
1587907807,3481,3481
1587909930,3481,3481
1587911770,3469,3469
1587913949,3459,3459
1587915849,3448,3448
1587917769,3515,3515
1587919692,3515,3515
1587921818,3509,3509
1587923773,3510,3510
1587925686,3510,3510
1587927617,3529,3529
1587929542,3577,3577
1587931457,3592,3592
1587933370,3599,3599
1587935299,3606,3606
1587937237,3638,3638
1587939132,3648,3648
1587941050,3656,3656
1587942975,4527,4527
1587944886,4529,4529
1587946815,4529,4529
1587948726,4531,4531
1587950651,4537,4537
1587952575,4559,4559
1587954487,4555,4555
1587956429,4565,4565
1587958333,4551,4551
1587960496,4581,4581
1587962412,4583,4583
1587964340,4596,4596
1587966743,4601,4601
1587968650,4613,4613
1587970577,4593,4593
1587972487,4612,4612
1587974416,4623,4623
1587976333,4639,4639
1587978256,4640,4640
1587980424,4643,4643
1587982343,2335,2335
1587984259,2356,2356
1587986417,3455,3455
1587988326,3442,3442
1587990253,3442,3442
1587992175,3423,3423
1587994087,3423,3423
1587996025,3398,3398
1587997934,3385,3385
1587999860,3385,3385
1588001782,3377,3377
1588003692,3339,3339
1588005610,3342,3342
1588007537,3331,3331
1588009447,3342,3342
1588011365,3322,3322
1588013294,3299,3299
1588015207,3315,3315
1588017127,3319,3319
1588019059,3318,3318
1588020967,3333,3333
1588022885,3329,3329
1588024854,3334,3334
1588026740,3364,3364
1588028662,4388,4388
1588030589,4398,4398
1588032743,4399,4399
1588034648,4408,4408
1588036572,4400,4400
1588038495,4414,4414
1588040419,4414,4414
1588042331,4409,4409
1588044255,4415,4415
1588046164,4386,4386
1588048088,4377,4377
1588050020,4377,4377
1588051949,4391,4391
1588053860,4394,4394
1588055779,4387,4387
1588057696,4377,4377
1588059610,4387,4387
1588061541,4406,4406
1588063448,4417,4417
1588065368,4424,4424
1588067294,4435,4435
1588069205,2331,2331
1588071128,2346,2346
1588073055,3372,3372
1588075020,3357,3357
1588076890,3364,3364
1588078815,3362,3362
1588080732,3353,3353
1588082900,3351,3351
1588084817,3350,3350
1588086736,3376,3376
1588088658,3374,3374
1588090573,3378,3378
1588092485,3368,3368
1588094416,3376,3376
1588096327,3371,3371
1588098249,3380,3380
1588100173,3379,3379
1588102084,3407,3407
1588104017,3436,3436
1588105942,3442,3442
1588107850,3450,3450
1588109768,3458,3458
1588111698,3463,3463
1588113611,3451,3451
1588115529,4378,4378
1588117460,4362,4362
1588119606,4365,4365
1588121528,4346,4346
1588123456,4325,4325
1588125365,4308,4308
1588127286,4314,4314
1588129229,4329,4329
1588131131,4342,4342
1588133058,4351,4351
1588134977,4356,4356
1588136922,4372,4372
1588138809,4373,4373
1588140742,4391,4391
1588142647,4399,4399
1588144565,4411,4411
1588146493,4405,4405
1588148404,4422,4422
1588150327,4440,4440
1588152254,4443,4443
1588154164,4452,4452
1588156087,2342,2342
1588158015,3468,3468
1588159929,3457,3457
1588161861,3474,3474
1588163767,3465,3465
1588165695,3466,3466
1588167627,3445,3445
1588169533,3446,3446
1588171458,3459,3459
1588173376,3444,3444
1588175299,3432,3432
1588177207,3443,3443
1588179141,3433,3433
1588181049,3433,3433
1588182968,3409,3409
1588184887,3410,3410
1588186815,3404,3404
1588188740,3395,3395
1588190653,3371,3371
1588192568,3365,3365
1588194500,3350,3350
1588196408,3335,3335
1588198336,3319,3319
1588200265,3331,3331
1588202171,4346,4346
1588204098,4336,4336
1588206020,4330,4330
1588207930,4344,4344
1588209851,4342,4342
1588211771,4326,4326
1588213700,4333,4333
1588215625,4331,4331
1588217580,4329,4329
1588219466,4353,4353
1588221369,4344,4344
1588223310,4332,4332
1588225212,4330,4330
1588227133,4319,4319
1588229059,4310,4310
1588230973,4296,4296
1588232896,4282,4282
1588234809,4264,4264
1588236733,4243,4243
1588238655,4223,4223
1588240568,4230,4230
1588242486,2153,2153
1588244432,3157,3157
1588246332,3173,3173
1588248502,3174,3174
1588250418,3202,3202
1588252333,3202,3202
1588254259,3198,3198
1588256416,3203,3203
1588258329,3199,3199
1588260251,3195,3195
1588262174,3188,3188
1588264085,3174,3174
1588266029,3145,3145
1588267933,3143,3143
1588270104,3158,3158
1588272021,3168,3168
1588273932,3184,3184
1588275858,3213,3213
1588277775,3214,3214
1588279695,3213,3213
1588281604,3252,3252
1588283533,3310,3310
1588285463,3341,3341
1588287413,3361,3361
1588289288,4242,4242
1588291229,4250,4250
1588293213,4284,4284
1588295303,4315,4315
1588297213,4407,4407
1588299146,4433,4433
1588301049,4452,4452
1588302973,4489,4489
1588304894,4517,4517
1588306827,4535,4535
1588308739,4552,4552
1588310652,4577,4577
1588312566,4589,4589
1588314497,4604,4604
1588316662,4628,4628
1588318594,4672,4672
1588320502,4691,4691
1588322422,4704,4704
1588324330,4702,4702
1588326251,4714,4714
1588328177,2845,2845
1588330097,2846,2846
1588332016,3830,3830
1588333932,3865,3865
1588335857,3896,3896
1588337769,3901,3901
1588339684,3912,3912
1588341630,3924,3924
1588343655,3939,3939
1588345466,3952,3952
1588347377,3966,3966
1588349310,3972,3972
1588351219,4008,4008
1588353135,4029,4029
1588355055,4053,4053
1588356970,4053,4053
1588359131,4081,4081
1588361048,4119,4119
1588362976,4153,4153
1588364887,4175,4175
1588366828,4207,4207
1588368745,4241,4241
1588370653,4280,4280
1588372582,4276,4276
1588374501,5120,5120
1588376413,5155,5155
1588378347,5183,5183
1588380251,5195,5195
1588382168,5213,5213
1588384096,5261,5261
1588386011,5294,5294
1588387942,5314,5314
1588389860,5328,5328
1588391769,5321,5321
1588393692,5324,5324
1588395624,5348,5348
1588397618,5361,5361
1588399465,5362,5362
1588401370,5379,5379
1588403314,5404,5404
1588405210,5413,5413
1588407136,5419,5419
1588409060,5432,5432
1588410972,5453,5453
1588412887,5475,5475
1588414820,2872,2872
1588416730,2882,2882
1588418661,4304,4304
1588420567,4327,4327
1588422494,4337,4337
1588424423,4334,4334
1588426336,4299,4299
1588428254,4284,4284
1588430184,4299,4299
1588432106,4314,4314
1588434012,4306,4306
1588435946,4333,4333
1588437853,4340,4340
1588439764,4322,4322
1588441699,4331,4331
1588443608,4338,4338
1588445533,4356,4356
1588447458,4392,4392
1588449368,4399,4399
1588451288,4407,4407
1588453227,4417,4417
1588455132,4424,4424
1588457061,4449,4449
1588458981,4458,4458
1588460907,5688,5688
1588462818,5718,5718
1588464740,5737,5737
1588466648,5771,5771
1588468572,5925,5925
1588470490,5883,5883
1588472421,5887,5887
1588474333,5922,5922
1588476252,5933,5933
1588478177,5982,5982
1588480094,5992,5992
1588482013,6011,6011
1588483946,6022,6022
1588486113,6027,6027
1588488014,6057,6057
1588489941,6053,6053
1588491850,6038,6038
1588493774,6017,6017
1588495697,6018,6018
1588497607,6013,6013
1588499527,6035,6035
1588501461,3347,3347
1588503367,3339,3339
1588505289,4620,4620
1588507224,4646,4646
1588509236,4649,4649
1588511310,4644,4644
1588513209,4607,4607
1588515131,4574,4574
1588517055,4548,4548
1588518964,4520,4520
1588520888,4505,4505
1588522881,4578,4578
1588524728,4587,4587
1588526646,4593,4593
1588528572,4590,4590
1588530742,4575,4575
1588532655,4573,4573
1588534569,4609,4609
1588536504,4664,4664
1588538409,4690,4690
1588540344,4675,4675
1588542250,4661,4661
1588544406,4673,4673
1588546338,4689,4689
1588548251,5839,5839
1588550173,5831,5831
1588552090,5842,5842
1588554016,5867,5867
1588555944,5861,5861
