DateTime,AddedIPs,RemovedIPs
1587775514,1065,412
1587777316,220,417
1587779116,354,651
1587780914,245,326
1587782716,610,783
1587784516,634,1290
1587786315,537,31
1587788115,293,354
1587789915,521,189
1587791714,476,303
1587793514,537,126
1587795313,679,135
1587797114,1488,239
1587798912,1112,981
1587800712,614,150
1587802511,455,37
1587804311,530,74
1587806111,690,256
1587807911,357,365
1587809710,316,268
1587811510,694,310
1587813311,816,399
1587815110,585,469
1587816911,275,906
1587818709,347,1438
1587820509,666,1819
1587822309,498,1955
1587824110,145,2143
1587825910,111,392
1587827711,155,153
1587829510,128,805
1587831310,198,143
1587833110,155,80
1587834909,171,67
1587836710,183,235
1587838512,207,228
1587840311,205,288
1587842112,360,69
1587843912,118,60
1587845711,115,24
1587847511,147,73
1587849311,134,43
1587851111,141,20
1587852912,175,58
1587854712,147,45
1587856512,212,69
1587858311,192,41
1587860112,219,129
1587861912,150,711
1587863713,160,531
1587865513,146,458
1587867313,217,288
1587869112,119,28
1587870911,77,136
1587872712,95,233
1587874511,149,200
1587876313,168,261
1587878111,178,19
1587879911,167,24
1587881712,193,30
1587883513,164,24
1587885312,251,47
1587887110,223,22
1587888912,118,79
1587890712,190,54
1587892510,220,85
1587894311,131,83
1587896111,112,270
1587897911,134,269
1587899712,173,103
1587901511,154,138
1587903312,156,201
1587905111,125,223
1587906912,149,816
1587908712,114,659
1587910512,170,81
1587912313,161,19
1587914113,122,19
1587915911,126,25
1587917712,88,46
1587919512,137,33
1587921311,114,24
1587923112,146,35
1587924912,175,62
1587926712,137,147
1587928510,193,90
1587930310,164,51
1587932108,616,126
1587933911,527,66
1587935710,568,35
1587937510,207,22
1587939310,146,41
1587941110,503,80
1587942911,637,73
1587944709,275,68
1587946509,345,27
1587948310,489,62
1587950109,178,80
1587951909,196,109
1587953706,221,113
1587955509,235,361
1587957309,179,5190
1587959111,225,210
1587960912,359,173
1587962712,216,196
1587964512,169,370
1587966315,156,112
1587968116,223,256
1587969916,201,232
1587971718,150,177
1587973520,252,110
1587975322,464,205
1587977122,302,496
1587978925,382,151
1587980721,403,369
1587982526,416,500
1587984329,488,462
1587986136,1406,504
1587987941,4757,1504
1587989745,1798,4103
1587991545,1297,2270
1587993350,1092,1228
1587995151,1228,559
1587996947,1222,534
1587998743,968,615
1588000538,942,1283
1588002338,934,1212
1588004147,870,1009
1588005939,837,561
1588007737,615,815
1588009551,766,903
1588011336,694,988
1588013145,605,596
1588014938,683,496
1588016737,582,297
1588018531,946,268
1588020338,830,534
1588022130,676,822
1588023930,586,1629
1588025735,636,555
1588027529,565,476
1588029329,593,270
1588031126,1149,218
1588032922,1550,231
1588034721,983,218
1588036516,912,201
1588038314,981,961
1588040115,800,1045
1588041917,761,2556
1588043717,856,2183
1588045515,643,180
1588047316,809,320
1588049114,736,451
1588050915,781,1361
1588052714,815,661
1588054516,799,2107
1588056314,997,703
1588058114,672,232
1588059913,301,180
1588061714,242,398
1588063514,194,200
1588065312,208,263
1588067113,184,187
1588068912,189,159
1588070712,381,200
1588072512,301,230
1588074311,244,380
1588076113,106,215
1588077911,122,294
1588079712,177,366
1588081511,220,328
1588083311,229,397
1588085111,375,290
1588086911,149,362
1588088710,190,234
1588090510,124,345
1588092309,197,285
1588094110,143,169
1588095909,192,196
1588097709,204,198
1588099509,157,190
1588101307,208,243
1588103107,417,310
1588104907,341,201
1588106707,313,78
1588108508,374,218
1588110307,208,326
1588112108,360,226
1588113908,365,133
1588115708,298,226
1588117509,220,188
1588119308,218,553
1588121107,288,273
1588122908,261,145
1588124707,39,0
1588126508,55,3
1588128307,81,5
1588130106,93,24
1588131906,87,28
1588133706,83,17
1588135508,93,15
1588137304,94,24
1588139106,84,23
1588140905,97,20
1588142705,73,16
1588144504,68,13
1588146304,108,20
1588148104,120,13
1588149904,91,18
1588151704,240,274
1588153503,84,221
1588155303,85,222
1588157103,90,439
1588158903,100,270
1588160703,189,275
1588162501,124,200
1588164301,154,233
1588166101,130,393
1588167902,107,76
1588169702,131,36
1588171501,97,57
1588173301,100,78
1588175101,105,84
1588176901,75,77
1588178702,117,83
1588180501,119,188
1588182302,94,151
1588184102,130,70
1588185901,122,36
1588187702,131,44
1588189502,119,29
1588191301,135,115
1588193101,107,70
1588194902,91,83
1588196701,238,97
1588198502,114,117
1588200302,83,108
1588202101,672,6
1588203902,317,47
1588205702,245,134
1588207502,187,67
1588209302,260,89
1588211103,284,84
1588212903,124,62
1588214702,150,74
1588216503,221,85
1588218303,191,62
1588220102,183,62
1588221904,165,38
1588223704,158,96
1588225504,126,1709
1588227305,190,963
