DateTime,AddedIPs,RemovedIPs
1588221121,15,3
1588222321,19,10
1588222921,16,28
1588224121,14,0
1588224721,16,19
1588225922,7,7
1588226521,5,8
1588227122,11,0
1588228321,20,44
1588228921,65,37
1588230121,29,9
1588231321,25,0
1588232521,20,38
1588233121,9,0
1588233722,54,20
1588234921,14,15
1588236121,12,63
1588236721,16,0
1588237321,44,21
1588237921,22,0
1588239121,6,59
1588239721,56,11
1588240321,66,0
1588240921,4,10
1588242121,23,12
1588243321,31,64
1588243921,5,23
1588245121,16,0
1588246321,50,23
1588246922,55,12
1588248121,23,61
1588248721,14,12
1588249921,8,19
1588250521,56,0
1588251121,2,15
1588251721,4,0
1588252321,58,0
1588252921,4,22
1588254121,16,46
1588255321,28,23
1588255921,14,0
1588257121,63,91
1588257721,34,0
1588258322,24,55
1588259521,17,0
1588260121,64,7
1588260721,19,0
1588261321,16,0
1588261921,46,40
1588262521,28,10
1588263122,27,0
1588263721,5,0
1588264921,14,29
1588266121,14,2
1588266721,10,0
1588267321,23,19
1588267922,32,0
1588269121,7,18
1588269722,12,10
1588270921,10,65
1588272122,43,4
1588273321,18,50
1588273922,46,28
1588275122,14,21
1588275722,11,0
1588276321,63,35
1588276921,26,0
1588278121,38,12
1588278721,38,9
1588279322,23,4
1588279922,5,57
1588281121,18,29
1588281722,2,17
1588282321,21,0
1588282921,56,0
1588283521,19,7
1588284122,28,0
1588285322,56,69
1588285921,36,18
1588287121,7,11
1588287721,9,0
1588288921,13,45
1588290122,17,27
1588290721,71,0
1588291321,31,50
1588292521,12,0
1588293721,40,58
1588294921,15,7
1588296121,42,19
1588296722,51,7
1588297922,31,52
1588298521,7,7
1588299121,54,0
1588300321,40,33
1588300922,34,18
1588302122,51,61
1588303321,30,24
1588303921,18,0
1588305122,40,42
1588305721,13,11
1588306322,13,10
1588307521,9,0
1588308121,10,6
1588309321,41,0
1588310522,16,8
1588311721,25,0
1588312922,23,14
1588314121,37,13
1588314722,16,65
1588316521,24,0
1588317722,41,9
1588318322,20,37
1588318921,17,0
1588320121,64,16
1588321321,7,45
1588322521,13,38
1588323721,19,0
1588324922,36,35
1588325521,22,0
1588326121,18,30
1588327321,4,12
1588327921,72,0
1588329121,24,42
1588329721,22,0
1588330921,3,62
1588332121,12,77
1588332721,26,17
1588333321,32,27
1588335121,5,0
1588335721,9,13
1588336922,28,42
1588338121,70,63
1588339321,33,23
1588340521,53,12
1588342321,10,22
1588343522,36,71
1588344121,35,0
1588345321,6,109
1588346521,12,10
1588347121,18,28
1588348322,14,0
1588348922,53,9
1588350121,16,21
1588350721,34,31
1588351921,8,13
1588352521,22,52
1588353721,47,12
1588354321,12,0
1588354921,26,24
1588355522,13,15
1588356721,20,60
1588357321,52,0
1588358521,21,51
1588359121,66,0
1588359721,14,0
1588360321,20,51
1588361521,21,32
1588362121,5,0
1588362721,14,31
1588363921,8,28
1588364521,61,8
1588365722,7,20
1588366321,6,0
