DateTime,AddedIPs,RemovedIPs
1588253521,7,12
1588254121,8,6
1588255321,2,14
1588255921,1,4
1588256521,2,1
1588257121,1,0
1588257721,10,5
1588258921,5,5
1588259521,6,6
1588260121,11,9
1588260721,2,19
1588261921,9,16
1588263122,6,6
1588263721,2,7
1588264921,13,11
1588266121,7,25
1588267922,6,38
1588268522,3,0
1588269121,10,25
1588270321,3,15
1588270921,3,22
1588271522,12,0
1588273321,5,21
1588273922,5,4
1588275122,7,13
1588275721,0,24
1588276321,11,0
1588276921,2,33
1588278121,21,0
1588278721,11,12
1588279322,21,6
1588280521,7,18
1588281721,11,0
1588282321,2,1
1588282921,20,0
1588283521,2,22
1588284122,14,17
1588284722,21,5
1588286521,22,0
1588287721,33,4
1588288321,21,8
1588289521,8,18
1588290122,21,3
1588290721,17,0
1588291922,17,6
1588293122,14,2
1588294321,21,15
1588294921,6,0
1588296121,13,0
1588297321,25,6
1588297922,20,0
1588299121,6,0
1588299721,2,13
1588300921,17,8
1588301522,1,0
1588303321,26,8
1588303921,8,3
1588305122,16,1
1588305721,14,14
1588306921,14,9
1588307521,6,20
1588308121,10,0
1588308722,13,0
1588309321,1,6
1588310522,24,15
1588311121,0,1
1588312321,4,4
1588312922,14,0
1588314121,5,23
1588315322,16,0
1588315921,10,8
1588316521,7,0
1588317722,18,7
1588318322,6,0
1588318921,12,0
1588319521,1,13
1588320721,25,0
1588321321,9,0
1588321921,10,0
1588323121,3,11
1588323721,6,0
1588324322,0,4
1588324922,1,4
1588325521,0,1
1588326721,7,13
1588327321,8,0
1588327921,6,12
1588328521,6,5
1588329121,3,0
1588329721,3,0
1588330321,4,8
1588330921,2,0
1588332121,4,9
1588332721,4,16
1588333922,5,13
1588334521,7,0
1588335721,4,9
1588336321,4,0
1588336922,0,3
1588338121,3,17
1588339321,3,37
1588340521,8,19
1588342321,14,5
1588342921,0,1
1588343521,1,5
1588344121,5,0
1588344721,4,6
1588345321,4,0
1588345921,4,0
1588346521,12,2
1588347721,28,6
1588348321,16,0
1588348922,9,4
1588349521,10,0
1588350121,5,0
1588350721,16,9
1588351322,3,0
1588351921,22,4
1588352521,14,1
1588353122,12,2
1588353721,6,0
1588354321,24,0
1588354921,12,1
1588355522,13,7
1588356122,11,1
1588357321,25,1
1588358521,24,8
1588359121,7,0
1588359721,14,0
1588360922,15,6
1588361521,15,0
1588362121,7,0
1588363321,18,10
1588364521,15,4
1588365722,17,9
1588366321,5,0
1588366921,11,0
1588368122,29,4
1588368721,3,6
1588369322,24,1
1588370521,26,5
1588371721,14,2
1588372322,25,22
1588373522,10,0
1588374121,8,13
1588375321,22,0
1588376522,15,16
1588377721,4,20
1588378921,13,3
1588379521,7,22
1588380721,13,2
1588381322,8,0
1588381922,5,14
1588383121,15,0
1588383721,8,10
1588384921,16,0
1588386122,14,33
1588387322,11,0
1588388521,17,3
1588389721,20,15
1588390321,7,1
1588390922,12,21
1588392122,10,2
1588392721,23,12
1588393921,23,14
1588394521,4,0
1588395122,9,10
1588395721,2,14
1588396321,4,0
1588396921,16,0
1588397521,13,3
1588398121,13,5
1588399321,10,18
1588399921,8,0
1588400521,25,0
1588401722,6,16
1588402922,14,24
1588403521,2,0
1588404121,0,5
1588404721,12,14
1588405921,13,4
1588406521,9,0
1588407121,13,20
1588407721,1,21
1588408321,4,15
1588409522,4,0
1588410121,2,7
1588410721,1,2
1588411321,5,2
1588413121,9,8
1588414322,8,14
1588414921,3,10
1588416121,7,9
1588416721,1,0
1588417321,13,4
1588418521,11,4
1588419121,8,4
1588419721,3,0
1588420321,2,0
1588420922,4,4
1588421521,7,1
1588422121,7,0
1588422721,2,4
1588423321,9,1
1588423921,5,3
1588425121,6,5
1588425721,4,0
1588426321,2,11
1588426922,1,0
1588427521,2,20
1588428122,4,0
1588429321,2,0
1588429921,6,0
1588431122,8,21
1588431721,2,7
1588432922,10,25
1588434121,7,0
1588435322,7,6
1588435922,1,0
1588436521,2,5
1588437122,5,15
1588437721,4,4
1588438321,12,0
1588439522,4,9
1588440121,1,0
1588440721,2,17
1588441321,8,9
1588441921,4,3
1588443122,6,11
1588443722,3,0
1588444321,1,10
1588444922,2,3
1588445522,2,0
1588446121,0,20
1588446721,1,0
1588447321,0,3
1588447921,8,12
1588449121,12,0
1588450322,12,15
1588451521,8,13
1588452121,15,0
1588453321,9,18
1588453922,3,0
1588455121,8,19
1588455722,5,0
1588456921,16,34
1588457522,3,0
1588458121,4,4
1588459321,24,0
1588460522,17,42
1588461121,12,0
1588462321,5,8
1588462921,16,0
1588464121,16,11
1588464722,6,11
1588465922,13,2
1588466521,14,0
1588467121,26,9
1588467721,11,6
1588468921,11,6
1588470122,10,10
1588470721,17,13
1588471321,2,9
1588471921,3,10
1588472522,9,0
1588473722,20,0
1588474321,21,16
1588474922,11,0
1588476122,14,11
1588477321,4,15
1588478521,8,24
1588479722,17,35
1588480921,6,24
1588482121,13,6
1588483322,12,13
1588483921,10,6
1588484521,13,13
1588485721,10,22
1588486321,8,10
1588486921,4,25
1588488121,16,18
1588489322,17,0
1588490521,18,11
1588491721,3,23
1588492921,8,20
1588494122,2,12
1588495322,8,0
1588495921,6,11
1588496521,2,5
1588497122,7,4
1588497721,7,0
1588498322,5,0
1588498921,1,11
1588500721,5,11
1588501321,1,6
1588502521,6,0
1588503121,2,0
1588503721,0,17
1588504321,1,0
1588504921,9,0
1588505521,0,5
1588506721,9,13
1588507321,1,3
1588508521,13,7
1588509122,0,8
1588509721,1,22
1588510321,3,0
1588510921,1,9
1588512122,9,3
1588513922,5,10
1588514521,0,6
1588515122,4,0
1588515721,6,9
1588516921,1,5
1588517521,1,0
1588518121,0,1
1588518721,9,10
1588519922,2,5
1588520521,3,0
1588521121,0,10
1588522321,4,3
1588522921,9,7
1588524122,5,0
1588525321,9,20
1588525921,0,16
1588527121,19,4
1588527721,9,0
1588528321,6,8
1588528921,11,0
1588529522,2,4
1588530121,14,9
1588530721,3,8
1588531321,18,0
1588531921,34,3
1588532522,10,7
1588533121,17,0
1588533722,18,14
1588535521,18,2
1588536121,5,7
1588537321,21,10
1588537922,11,9
1588539121,17,19
1588539722,5,0
1588540321,4,1
1588540922,4,0
1588542122,19,35
1588542721,18,0
1588543322,4,8
1588543922,2,26
1588545122,19,0
1588545721,11,17
1588546321,8,0
1588546921,6,0
1588547521,17,15
1588548721,31,12
1588549321,19,44
1588550521,18,3
1588551121,12,13
1588551721,9,0
1588552921,22,4
1588554121,27,56
1588555321,20,0
1588556521,13,33
1588557721,14,6
1588558321,14,7
1588559521,17,30
1588560721,20,12
1588561321,10,25
1588562521,20,0
1588563722,17,34
1588564921,20,0
1588565522,2,13
1588566721,21,9
1588567322,2,9
1588568522,20,0
1588569121,20,19
1588570321,18,25
1588570921,6,20
1588571521,1,0
1588572722,17,16
1588573321,14,19
1588574522,17,0
1588575721,5,18
1588576321,5,15
1588577521,15,14
1588578122,8,7
1588579322,14,11
